model_id,layer,type_a,type_b,space,overlap,sigma_1,sigma_2,angle_1_deg,angle_2_deg,mean_angle_deg,shared_dimension_sigma_ge_0_5
Qwen/Qwen3.5-9B,0,1,2,raw,0.47283964641780335,0.9615823125187976,0.1450474028950821,15.93321880539331,81.65997580556848,48.796597305480894,1
Qwen/Qwen3.5-9B,0,1,2,label_residualized,0.5319133608177021,0.9597406576166672,0.3777890836868259,16.31318937659631,67.80319951570644,42.058194446151376,1
Qwen/Qwen3.5-9B,0,1,3,raw,0.6529881856714226,0.9473094764212375,0.6392035100227205,18.682264394284708,50.267547142728176,34.474905768506446,2
Qwen/Qwen3.5-9B,0,1,3,label_residualized,0.5538601415667942,0.9522968818464769,0.4481639565595003,17.768581063425653,63.374053804928934,40.571317434177296,1
Qwen/Qwen3.5-9B,0,1,4,raw,0.5084327550093781,0.9278304257645883,0.3949635566027062,21.900895259913774,66.73629880007398,44.31859702999388,1
Qwen/Qwen3.5-9B,0,1,4,label_residualized,0.5017420268026044,0.9568880522130048,0.29639384126059476,16.88531654939182,72.75886297209202,44.82208976074192,1
Qwen/Qwen3.5-9B,0,1,5,raw,0.5773109129599381,0.9655518790678959,0.4715203015229903,15.082560189149765,61.86697207158632,38.47476613036804,1
Qwen/Qwen3.5-9B,0,1,5,label_residualized,0.5153036207013226,0.9636742452946231,0.3192791730734778,15.490608222160901,71.38066206323211,43.435635142696505,1
Qwen/Qwen3.5-9B,0,1,6,raw,0.44685496578925044,0.9336669679188337,0.14824278935500498,20.98615942378761,81.47489266039561,51.23052604209161,1
Qwen/Qwen3.5-9B,0,1,6,label_residualized,0.4884767497518939,0.9276732559099532,0.3411390182509388,21.92502501924752,70.05371558993659,45.98937030459206,1
Qwen/Qwen3.5-9B,0,1,7,raw,0.44093675373415786,0.8926719321556386,0.29156530830987887,26.789054932953785,73.0483079918765,49.918681462415144,1
Qwen/Qwen3.5-9B,0,1,7,label_residualized,0.5220055722183231,0.9220266348739266,0.4403158287181024,22.775816178947466,63.8759660148778,43.32589109691263,1
Qwen/Qwen3.5-9B,0,1,8,raw,0.8426463224046674,0.9708037737116842,0.861877414576161,13.879165012673912,30.471963054747086,22.1755640337105,2
Qwen/Qwen3.5-9B,0,1,8,label_residualized,0.8450487195981948,0.96692981286987,0.8689903199574941,14.776110479904297,29.658480672023718,22.21729557596401,2
Qwen/Qwen3.5-9B,0,1,9,raw,0.4392329000550071,0.8005635747900927,0.48740513213272785,36.81604646728709,60.829829343078224,48.822937905182656,1
Qwen/Qwen3.5-9B,0,1,9,label_residualized,0.5401894165311875,0.8968004232943292,0.5254786711575331,26.259366830433287,58.29952724843632,42.2794470394348,2
Qwen/Qwen3.5-9B,0,2,3,raw,0.4477179218305402,0.9407767944290569,0.10185708971332545,19.817579266561356,84.15387998519078,51.98572962587607,1
Qwen/Qwen3.5-9B,0,2,3,label_residualized,0.4419200594336296,0.9395028629699711,0.03427082342878481,20.031764353051607,88.03604188777331,54.03390312041246,1
Qwen/Qwen3.5-9B,0,2,4,raw,0.45711747109552225,0.9353433154551438,0.19841326675508306,20.71631910188951,78.55581348903353,49.63606629546152,1
Qwen/Qwen3.5-9B,0,2,4,label_residualized,0.47907740069203264,0.9450477383183638,0.2550285742488687,19.08268800862282,75.22472168461516,47.15370484661899,1
Qwen/Qwen3.5-9B,0,2,5,raw,0.45005160908852143,0.9486975321810822,0.00872986887457708,18.432369635491344,89.49980900433673,53.96608931991403,1
Qwen/Qwen3.5-9B,0,2,5,label_residualized,0.4984540331512523,0.9452095482722258,0.3216939168798804,19.05431006192759,71.23460322875611,45.144456645341855,1
Qwen/Qwen3.5-9B,0,2,6,raw,0.5309834562562018,0.9444627889693549,0.4122583568160036,19.18493827731207,65.65321958768911,42.41907893250059,1
Qwen/Qwen3.5-9B,0,2,6,label_residualized,0.511062834576476,0.9319411107314217,0.39193294743059826,21.260550983705357,66.92517338307619,44.09286218339077,1
Qwen/Qwen3.5-9B,0,2,7,raw,0.5300342392003009,0.8527021475612419,0.5770333837353329,31.493202431106933,54.75784397917668,43.1255232051418,2
Qwen/Qwen3.5-9B,0,2,7,label_residualized,0.44988354691264903,0.9186325174276576,0.236392452819083,23.27302296359126,76.32628268056592,49.79965282207859,1
Qwen/Qwen3.5-9B,0,2,8,raw,0.5008432312319431,0.9608041561390226,0.280253164138903,16.09483355171594,73.72468508883593,44.90975932027593,1
Qwen/Qwen3.5-9B,0,2,8,label_residualized,0.5673365024689075,0.9488465345350064,0.4841107919048324,18.405349856247902,61.04576967067824,39.72555976346307,1
Qwen/Qwen3.5-9B,0,2,9,raw,0.5103624899994978,0.7847132896193911,0.63635684414777,38.3058311705913,50.47930813880384,44.39256965469757,2
Qwen/Qwen3.5-9B,0,2,9,label_residualized,0.5151133918629516,0.9214971322053308,0.4255229947526388,22.854056821874313,64.81622823641325,43.83514252914378,1
Qwen/Qwen3.5-9B,0,3,4,raw,0.7320273013430425,0.9759123649146885,0.7152969024766604,12.601154835517418,44.33246331855546,28.46680907703644,2
Qwen/Qwen3.5-9B,0,3,4,label_residualized,0.7942447971705883,0.9752399018395068,0.7983712972052825,12.776561942297162,37.025147052447934,24.90085449737255,2
Qwen/Qwen3.5-9B,0,3,5,raw,0.6630263113264453,0.9339696594457585,0.6736121271827464,20.93768123054658,47.653533568731,34.29560739963879,2
Qwen/Qwen3.5-9B,0,3,5,label_residualized,0.607803128182863,0.933608228664126,0.5864997286754352,20.995554547130563,54.090990228627184,37.54327238787887,2
Qwen/Qwen3.5-9B,0,3,6,raw,0.4541706092426368,0.9519721252712642,0.04571970244638526,17.829452709719472,87.37954054741803,52.604496628568754,1
Qwen/Qwen3.5-9B,0,3,6,label_residualized,0.5384738525110055,0.9544828804191806,0.4073206795741107,17.353467107285375,65.96336515912954,41.65841613320745,1
Qwen/Qwen3.5-9B,0,3,7,raw,0.38144874505442755,0.8601083200614567,0.15202357669096597,30.671252763487146,81.25578595842948,55.963519360958315,1
Qwen/Qwen3.5-9B,0,3,7,label_residualized,0.5598733445507388,0.9190134887400505,0.5245578105560136,23.217715817510676,58.361519953192136,40.789617885351404,2
Qwen/Qwen3.5-9B,0,3,8,raw,0.7211600872930563,0.9507902567500848,0.7337016166366409,18.049302712125534,42.802382026489866,30.425842369307702,2
Qwen/Qwen3.5-9B,0,3,8,label_residualized,0.6085128855180835,0.9541784179028245,0.5536870215605831,17.411858067659978,56.37967237263804,36.89576522014901,2
Qwen/Qwen3.5-9B,0,3,9,raw,0.3651981522874948,0.7782944243658821,0.35306386614318064,38.89532132050175,69.3251702183712,54.110245769436474,1
Qwen/Qwen3.5-9B,0,3,9,label_residualized,0.4945854918404281,0.9103548973808533,0.40053082839595794,24.445558126639803,66.38863268279493,45.41709540471737,1
Qwen/Qwen3.5-9B,0,4,5,raw,0.5096585247197177,0.9295655611144009,0.39398593506558643,21.632805114471427,66.79725557306533,44.215030343768376,1
Qwen/Qwen3.5-9B,0,4,5,label_residualized,0.530492185112465,0.9395773537040707,0.4221122678048881,20.019300800705267,65.03198421780397,42.52564250925462,1
Qwen/Qwen3.5-9B,0,4,6,raw,0.4444592104751132,0.9414575697828745,0.0507549529479672,19.70220523557475,87.0907054050118,53.39645532029328,1
Qwen/Qwen3.5-9B,0,4,6,label_residualized,0.4609975382127778,0.9463812821115668,0.1623500702014709,18.847585902273504,80.65667089444912,49.752128398361315,1
Qwen/Qwen3.5-9B,0,4,7,raw,0.36652760700868725,0.8551010085397555,0.04309848270725467,31.22910443719429,87.52987373325549,59.37948908522489,1
Qwen/Qwen3.5-9B,0,4,7,label_residualized,0.5615823064191003,0.9351179165394476,0.4987174500708025,20.75279645937774,60.08481660624335,40.41880653281055,1
Qwen/Qwen3.5-9B,0,4,8,raw,0.6122101773522067,0.9228074310097095,0.6106118243022106,22.65997722357871,52.36624499642051,37.51311110999961,2
Qwen/Qwen3.5-9B,0,4,8,label_residualized,0.5109548171303664,0.946578316580504,0.35482266675108576,18.812609011255603,69.21742357017024,44.01501629071292,1
Qwen/Qwen3.5-9B,0,4,9,raw,0.3524726538269313,0.7871344998589347,0.29217218687905144,38.08147336418248,73.01195347595062,55.54671342006655,1
Qwen/Qwen3.5-9B,0,4,9,label_residualized,0.4567462870506965,0.9175595252240688,0.2675389537468784,23.428130819384208,74.48212740476384,48.955129112074026,1
Qwen/Qwen3.5-9B,0,5,6,raw,0.43919854372107764,0.9286433049050088,0.12656500186567432,21.77569090906956,82.72885834812509,52.25227462859732,1
Qwen/Qwen3.5-9B,0,5,6,label_residualized,0.5588419766790353,0.9161872591422997,0.5275271173535927,23.625099790515655,58.161476126870674,40.893287958693165,2
Qwen/Qwen3.5-9B,0,5,7,raw,0.37577603414579086,0.8496500297857879,0.17218273774275863,31.826374922788457,80.08524764462346,55.95581128370596,1
Qwen/Qwen3.5-9B,0,5,7,label_residualized,0.4845767446092965,0.9175112513514146,0.35682852024768735,23.4350863341088,69.09444815001184,46.26476724206032,1
Qwen/Qwen3.5-9B,0,5,8,raw,0.5782731615929865,0.9462155513087089,0.511099260073353,18.876957510980027,59.26292132215954,39.06993941656978,2
Qwen/Qwen3.5-9B,0,5,8,label_residualized,0.5680705325114285,0.9477480627372927,0.4877649788582259,18.60365470554158,60.80621431880075,39.704934512171164,1
Qwen/Qwen3.5-9B,0,5,9,raw,0.37779486617723185,0.809358316618136,0.3170628449937344,35.96671548579702,71.51460912885955,53.74066230732828,1
Qwen/Qwen3.5-9B,0,5,9,label_residualized,0.48846926601781243,0.87532135267951,0.4590763134588169,28.916969549654983,62.67248025430084,45.79472490197791,1
Qwen/Qwen3.5-9B,0,6,7,raw,0.464016552784636,0.8301828374137369,0.4887019153154087,33.88247559242936,60.74470210870321,47.31358885056628,1
Qwen/Qwen3.5-9B,0,6,7,label_residualized,0.4284356209408857,0.9038485206563449,0.199822655344954,25.33135806774301,78.47341140518655,51.90238473646478,1
Qwen/Qwen3.5-9B,0,6,8,raw,0.4498985091605629,0.939166498645619,0.13327905365380688,20.08795141757209,82.3408823427778,51.214416880174944,1
Qwen/Qwen3.5-9B,0,6,8,label_residualized,0.5715878010984018,0.9367132115006572,0.5155035999844507,20.493287490914362,58.968877748005596,39.73108261945998,2
Qwen/Qwen3.5-9B,0,6,9,raw,0.43667085867902933,0.8320896080936154,0.4254040449509997,33.68600653583467,64.82375918177382,49.25488285880425,1
Qwen/Qwen3.5-9B,0,6,9,label_residualized,0.5014913664180053,0.926493147554482,0.3802540997420008,22.105403182301018,67.650576934314,44.87799005830751,1
Qwen/Qwen3.5-9B,0,7,8,raw,0.4520286496055741,0.908213885336131,0.2814335404563522,24.74032098564411,73.65421847619542,49.19726973091977,1
Qwen/Qwen3.5-9B,0,7,8,label_residualized,0.5371442737378317,0.9173590135040587,0.4824323660561381,23.457008695211194,61.15561545818841,42.3063120766998,1
Qwen/Qwen3.5-9B,0,7,9,raw,0.7014451420881982,0.9091432085591105,0.7591764686205982,24.612783461003296,40.608349126411,32.61056629370715,2
Qwen/Qwen3.5-9B,0,7,9,label_residualized,0.5275776303984965,0.9445693130845995,0.4036633171045902,19.16635676021543,66.19260920058466,42.67948298040004,1
Qwen/Qwen3.5-9B,0,8,9,raw,0.5043919603480852,0.8249249284001948,0.5729596697849717,34.419119039252124,55.04312851854112,44.73112377889662,2
Qwen/Qwen3.5-9B,0,8,9,label_residualized,0.5707687203792867,0.8988338838196709,0.5776115390608292,25.994792689950486,54.71727422682227,40.35603345838638,2
Qwen/Qwen3.5-9B,8,1,2,raw,0.11738895450520238,0.3562822170475481,0.3283913683793906,69.1279510216024,70.82883284698549,69.97839193429394,0
Qwen/Qwen3.5-9B,8,1,2,label_residualized,0.1230378786128154,0.36526165541041966,0.33564814957403033,68.5763136915959,70.38804360310382,69.48217864734985,0
Qwen/Qwen3.5-9B,8,1,3,raw,0.11001149321101258,0.43320958209367444,0.17986785261477134,64.32857858472987,79.63793730889945,71.98325794681466,0
Qwen/Qwen3.5-9B,8,1,3,label_residualized,0.10942640731241968,0.43778588798186785,0.1649131010828636,64.03730280467326,80.50781362738128,72.27255821602728,0
Qwen/Qwen3.5-9B,8,1,4,raw,0.14625930175455604,0.5169751694328667,0.15891909167551535,58.87043032187462,80.85583798483285,69.86313415335374,1
Qwen/Qwen3.5-9B,8,1,4,label_residualized,0.15134174104807505,0.5364501532915348,0.12208486855314586,57.557689218212516,82.98755841624103,70.27262381722677,1
Qwen/Qwen3.5-9B,8,1,5,raw,0.15464437275588322,0.46782736064172625,0.3007096708567296,62.1066420096257,72.4997674233445,67.3032047164851,0
Qwen/Qwen3.5-9B,8,1,5,label_residualized,0.16496953010241033,0.48396052633933023,0.30938854075446803,61.055608650985825,71.97761500931733,66.51661183015158,0
Qwen/Qwen3.5-9B,8,1,6,raw,0.048944601893974794,0.30259064380133344,0.07954939391248773,72.38673016500117,85.43733463803576,78.91203240151847,0
Qwen/Qwen3.5-9B,8,1,6,label_residualized,0.057522778483423825,0.3267103262564364,0.09113681848880026,70.93077316846531,84.77098921031752,77.85088118939142,0
Qwen/Qwen3.5-9B,8,1,7,raw,0.04254214669932488,0.28927671296701857,0.037460335471627804,73.18534115662769,87.85317858113119,80.51925986887943,0
Qwen/Qwen3.5-9B,8,1,7,label_residualized,0.1549503353381123,0.5196785142576898,0.19958685451488195,58.68931065925004,78.48719954424614,68.58825510174809,1
Qwen/Qwen3.5-9B,8,1,8,raw,0.41442156369160704,0.8916738351803917,0.18374139173824106,26.915660292724578,79.41223836038284,53.16394932655371,1
Qwen/Qwen3.5-9B,8,1,8,label_residualized,0.4182401959735666,0.900431783697833,0.16032153583930012,25.78511855519106,80.77444020283545,53.279779379013256,1
Qwen/Qwen3.5-9B,8,1,9,raw,0.08240376702358722,0.3986634605037928,0.07664841359294572,66.50534850642926,85.60405786327091,76.05470318485008,0
Qwen/Qwen3.5-9B,8,1,9,label_residualized,0.11243999876038803,0.41394431835490847,0.23136572525433896,65.5471472397583,76.62250896282518,71.08482810129175,0
Qwen/Qwen3.5-9B,8,2,3,raw,0.41265943606239963,0.8639716674850028,0.2808412895355366,30.234510250308457,73.68957809612034,51.9620441732144,1
Qwen/Qwen3.5-9B,8,2,3,label_residualized,0.38444032928036076,0.8512560565690254,0.2103420659670191,31.651451050499716,77.85760106879695,54.754526059648335,1
Qwen/Qwen3.5-9B,8,2,4,raw,0.3521752476842584,0.8319592533336674,0.1104277870873242,33.699470124758946,83.66002380058958,58.679746962674265,1
Qwen/Qwen3.5-9B,8,2,4,label_residualized,0.3275045892341589,0.804245481643189,0.09054492655490327,36.462549879926385,84.80504291833007,60.63379639912823,1
Qwen/Qwen3.5-9B,8,2,5,raw,0.15323848197832596,0.5126206150127667,0.20903843909813516,59.16145421171452,77.93399172000326,68.5477229658589,1
