model_id,conflict_type_idx,bootstrap_idx,space,overlap_with_reference
Qwen/Qwen3.5-4B,3,1,raw,0.885602471268738
Qwen/Qwen3.5-4B,3,1,label_residualized,0.70521661964537
Qwen/Qwen3.5-4B,3,2,raw,0.7862816351621975
Qwen/Qwen3.5-4B,3,2,label_residualized,0.6154869458977753
Qwen/Qwen3.5-4B,3,3,raw,0.7109798412237043
Qwen/Qwen3.5-4B,3,3,label_residualized,0.5511797934607932
Qwen/Qwen3.5-4B,3,4,raw,0.8760554197491486
Qwen/Qwen3.5-4B,3,4,label_residualized,0.4619071696513265
Qwen/Qwen3.5-4B,3,5,raw,0.953039026927147
Qwen/Qwen3.5-4B,3,5,label_residualized,0.8685300084295003
Qwen/Qwen3.5-4B,3,6,raw,0.837538426986401
Qwen/Qwen3.5-4B,3,6,label_residualized,0.3849551437892132
Qwen/Qwen3.5-4B,3,7,raw,0.6403175262666293
Qwen/Qwen3.5-4B,3,7,label_residualized,0.4582142940150448
Qwen/Qwen3.5-4B,3,8,raw,0.7093548511856074
Qwen/Qwen3.5-4B,3,8,label_residualized,0.4879273604796988
Qwen/Qwen3.5-4B,3,9,raw,0.9388263328107502
Qwen/Qwen3.5-4B,3,9,label_residualized,0.48779247161280426
Qwen/Qwen3.5-4B,3,10,raw,0.9253141781503598
Qwen/Qwen3.5-4B,3,10,label_residualized,0.7498033807431361
Qwen/Qwen3.5-4B,3,11,raw,0.7600251595608641
Qwen/Qwen3.5-4B,3,11,label_residualized,0.38457986147206524
Qwen/Qwen3.5-4B,3,12,raw,0.8383744723431439
Qwen/Qwen3.5-4B,3,12,label_residualized,0.7748460641930759
Qwen/Qwen3.5-4B,3,13,raw,0.77536518394856
Qwen/Qwen3.5-4B,3,13,label_residualized,0.37396803553203495
Qwen/Qwen3.5-4B,3,14,raw,0.6737711228238895
Qwen/Qwen3.5-4B,3,14,label_residualized,0.3764295308453259
Qwen/Qwen3.5-4B,3,15,raw,0.7490435561144203
Qwen/Qwen3.5-4B,3,15,label_residualized,0.47304325801560304
Qwen/Qwen3.5-4B,3,16,raw,0.946633652332743
Qwen/Qwen3.5-4B,3,16,label_residualized,0.8205121586313889
Qwen/Qwen3.5-4B,3,17,raw,0.5737815722975347
Qwen/Qwen3.5-4B,3,17,label_residualized,0.4505848966436457
Qwen/Qwen3.5-4B,3,18,raw,0.8623570898243573
Qwen/Qwen3.5-4B,3,18,label_residualized,0.49676461583010517
Qwen/Qwen3.5-4B,3,19,raw,0.807917578610425
Qwen/Qwen3.5-4B,3,19,label_residualized,0.448211697981306
Qwen/Qwen3.5-4B,4,0,raw,0.8864947256033049
Qwen/Qwen3.5-4B,4,0,label_residualized,0.6445693898474536
Qwen/Qwen3.5-4B,4,1,raw,0.4761017601521667
Qwen/Qwen3.5-4B,4,1,label_residualized,0.5859325245567883
Qwen/Qwen3.5-4B,4,2,raw,0.7479327755941683
Qwen/Qwen3.5-4B,4,2,label_residualized,0.7116906852014029
Qwen/Qwen3.5-4B,4,3,raw,0.9074142765645619
Qwen/Qwen3.5-4B,4,3,label_residualized,0.6899529855922891
Qwen/Qwen3.5-4B,4,4,raw,0.8042111761091071
Qwen/Qwen3.5-4B,4,4,label_residualized,0.48936472307111245
Qwen/Qwen3.5-4B,4,5,raw,0.7179923502307397
Qwen/Qwen3.5-4B,4,5,label_residualized,0.3895529601297312
Qwen/Qwen3.5-4B,4,6,raw,0.5739652084267357
Qwen/Qwen3.5-4B,4,6,label_residualized,0.473758145740774
Qwen/Qwen3.5-4B,4,7,raw,0.8990303839508238
Qwen/Qwen3.5-4B,4,7,label_residualized,0.6974158937956196
Qwen/Qwen3.5-4B,4,8,raw,0.8718189885955618
Qwen/Qwen3.5-4B,4,8,label_residualized,0.6242601772761568
Qwen/Qwen3.5-4B,4,9,raw,0.8658709865369538
Qwen/Qwen3.5-4B,4,9,label_residualized,0.5728793349605933
Qwen/Qwen3.5-4B,4,10,raw,0.9014885646302604
Qwen/Qwen3.5-4B,4,10,label_residualized,0.7462089138596789
Qwen/Qwen3.5-4B,4,11,raw,0.7390872134714545
Qwen/Qwen3.5-4B,4,11,label_residualized,0.6491632234612985
Qwen/Qwen3.5-4B,4,12,raw,0.8913590662089368
Qwen/Qwen3.5-4B,4,12,label_residualized,0.6609178755862962
Qwen/Qwen3.5-4B,4,13,raw,0.7357021286028413
Qwen/Qwen3.5-4B,4,13,label_residualized,0.6234408028803445
Qwen/Qwen3.5-4B,4,14,raw,0.5448739094771067
Qwen/Qwen3.5-4B,4,14,label_residualized,0.5590073317799007
Qwen/Qwen3.5-4B,4,15,raw,0.6158093204865659
Qwen/Qwen3.5-4B,4,15,label_residualized,0.2916870617507574
Qwen/Qwen3.5-4B,4,16,raw,0.5753886131497763
Qwen/Qwen3.5-4B,4,16,label_residualized,0.3182142466547354
Qwen/Qwen3.5-4B,4,17,raw,0.7735725424823282
Qwen/Qwen3.5-4B,4,17,label_residualized,0.6051826050148592
Qwen/Qwen3.5-4B,4,18,raw,0.7748542265336724
Qwen/Qwen3.5-4B,4,18,label_residualized,0.5158668005639724
Qwen/Qwen3.5-4B,4,19,raw,0.7312047068321924
Qwen/Qwen3.5-4B,4,19,label_residualized,0.6652980249468265
Qwen/Qwen3.5-4B,5,0,raw,0.7648848431526654
Qwen/Qwen3.5-4B,5,0,label_residualized,0.7068758403434295
Qwen/Qwen3.5-4B,5,1,raw,0.8342407842225584
Qwen/Qwen3.5-4B,5,1,label_residualized,0.5924254898977429
Qwen/Qwen3.5-4B,5,2,raw,0.6706278507253504
Qwen/Qwen3.5-4B,5,2,label_residualized,0.46521407079880606
Qwen/Qwen3.5-4B,5,3,raw,0.7736984505980316
Qwen/Qwen3.5-4B,5,3,label_residualized,0.7949816851251067
Qwen/Qwen3.5-4B,5,4,raw,0.44720167172037406
Qwen/Qwen3.5-4B,5,4,label_residualized,0.4625954547363549
Qwen/Qwen3.5-4B,5,5,raw,0.42118719411565925
Qwen/Qwen3.5-4B,5,5,label_residualized,0.3649829635785349
Qwen/Qwen3.5-4B,5,6,raw,0.7760723107145284
Qwen/Qwen3.5-4B,5,6,label_residualized,0.6481422917917814
Qwen/Qwen3.5-4B,5,7,raw,0.8589636273279915
Qwen/Qwen3.5-4B,5,7,label_residualized,0.7556262483697489
Qwen/Qwen3.5-4B,5,8,raw,0.7484446552743406
Qwen/Qwen3.5-4B,5,8,label_residualized,0.5923086013441273
Qwen/Qwen3.5-4B,5,9,raw,0.6523128267488214
Qwen/Qwen3.5-4B,5,9,label_residualized,0.48668909856943543
Qwen/Qwen3.5-4B,5,10,raw,0.3542101008248629
Qwen/Qwen3.5-4B,5,10,label_residualized,0.4836870149846738
Qwen/Qwen3.5-4B,5,11,raw,0.35516086807027375
Qwen/Qwen3.5-4B,5,11,label_residualized,0.3217316698523527
Qwen/Qwen3.5-4B,5,12,raw,0.5030845027988289
Qwen/Qwen3.5-4B,5,12,label_residualized,0.308115442676214
Qwen/Qwen3.5-4B,5,13,raw,0.4659263449853508
Qwen/Qwen3.5-4B,5,13,label_residualized,0.24160437010100652
Qwen/Qwen3.5-4B,5,14,raw,0.3701180702396039
Qwen/Qwen3.5-4B,5,14,label_residualized,0.24962306352330532
