model_id,layer,conflict_type_idx,n,hidden_dimension,rank,raw_topk_explained_ratio,residual_topk_explained_ratio,raw_singular_value_1,raw_singular_value_2,residual_singular_value_1,residual_singular_value_2,decision_coupling_overlap,decision_coupling_mean_angle_deg,decision_coupling_min_angle_deg
Qwen/Qwen3.5-4B,0,1,100,2560,2,0.31528052402128864,0.3167299272537527,0.09846395916687553,0.06104682783363707,0.09319304382583331,0.060125856245758405,0.10473095031458471,71.22236354865402,69.07425670956006
Qwen/Qwen3.5-4B,0,2,100,2560,2,0.24481530190029802,0.26005587318188683,0.06812567786780846,0.06004128435328831,0.06738547358717675,0.05963703796053834,0.0270757049846768,80.60162911387698,79.40989118463807
Qwen/Qwen3.5-4B,0,3,100,2560,2,0.26060569273355316,0.28017227829185043,0.08909903611381818,0.07644443942540342,0.08781576689051956,0.07370537018056424,0.12255165615250715,71.64041080396805,61.815559262610236
Qwen/Qwen3.5-4B,0,4,100,2560,2,0.28050131306165704,0.3063752408383524,0.08015149108360686,0.06683181869050536,0.07917827360603494,0.06584484297711117,0.05099638656224935,77.22838449278117,74.4457342179796
Qwen/Qwen3.5-4B,0,5,100,2560,2,0.49535864249619316,0.5202675694940724,0.16151390674151003,0.10105626939479599,0.16149507768756882,0.10091450081921399,0.002045724021618494,87.95738621733415,86.35977649610186
Qwen/Qwen3.5-4B,0,6,100,2560,2,0.3469041969055391,0.35775109298092034,0.1517254805085598,0.1129006926204373,0.1492598215129331,0.1120866884510145,0.027340629065024758,82.77660060417696,76.51206034106143
Qwen/Qwen3.5-4B,0,7,100,2560,2,0.33312051788443137,0.35600876436687134,0.1297609675194061,0.09042471561684912,0.12936023201096075,0.0896138968803477,0.018511770128118075,83.31941224903572,79.21751507680861
Qwen/Qwen3.5-4B,0,8,94,2560,2,0.27744320524025434,0.2847309340159414,0.09776455612596958,0.07284858289471828,0.09354785324629028,0.0703850637343263,0.1308137182764062,70.77575600491565,61.039613398811674
Qwen/Qwen3.5-4B,0,9,70,2560,2,0.2884735440941797,0.29799864261884373,0.09929314798957721,0.09714279260921398,0.09917610966259557,0.09219987000913965,0.07582176885226216,78.20479302918031,67.09331198199388
Qwen/Qwen3.5-4B,8,1,100,2560,2,0.24785871760639716,0.24047205052106835,1.317326620903418,0.915660153452478,1.2663392101186794,0.8951458118040504,0.06783472069744739,76.51739721162414,69.45435140269038
