model_id,hidden_dimension,rank,empirical_random_overlap_mean,empirical_random_overlap_std,theoretical_k_over_d
Qwen/Qwen3.5-4B,2560,2,0.0007763264535395989,0.0005280159039475221,0.00078125
Qwen/Qwen3.5-9B,4096,2,0.00048272900123489954,0.0003480907896306768,0.00048828125
