fold,n_train,n_test,accuracy,balanced_accuracy,roc_auc,feature_group,classifier_model
1,615,154,0.525974025974026,0.5,0.5,majority_baseline,majority_baseline
2,615,154,0.525974025974026,0.5,0.5,majority_baseline,majority_baseline
3,615,154,0.525974025974026,0.5,0.5,majority_baseline,majority_baseline
4,615,154,0.525974025974026,0.5,0.5,majority_baseline,majority_baseline
5,616,153,0.5228758169934641,0.5,0.5,majority_baseline,majority_baseline
1,615,154,0.6623376623376623,0.6560121765601218,0.7246744461356331,raw_cos,logistic_l2
2,615,154,0.6168831168831169,0.6168611533908337,0.6656519533231862,raw_cos,logistic_l2
3,615,154,0.6688311688311688,0.6669203450025367,0.745645188567563,raw_cos,logistic_l2
4,615,154,0.6558441558441559,0.6518687637409099,0.7038728225942839,raw_cos,logistic_l2
5,616,153,0.6405228758169934,0.6382705479452055,0.6613013698630137,raw_cos,logistic_l2
1,615,154,0.6948051948051948,0.6895822763402673,0.7111449348892271,raw_cos,linear_svm
2,615,154,0.6298701298701299,0.6285303568408591,0.6771520378826316,raw_cos,linear_svm
3,615,154,0.6883116883116883,0.684762387958735,0.7539320142059869,raw_cos,linear_svm
4,615,154,0.6558441558441559,0.6505158126162692,0.6791814645695925,raw_cos,linear_svm
5,616,153,0.6666666666666666,0.6626712328767124,0.6587328767123288,raw_cos,linear_svm
1,615,154,0.6493506493506493,0.6409605952984948,0.715372907153729,raw_cos,rbf_svm
2,615,154,0.6168831168831169,0.6148317267038728,0.6411297141890749,raw_cos,rbf_svm
3,615,154,0.6948051948051948,0.6909352274649079,0.7488584474885844,raw_cos,rbf_svm
4,615,154,0.6623376623376623,0.658718078809403,0.7273803483849146,raw_cos,rbf_svm
5,616,153,0.673202614379085,0.6695205479452055,0.6917808219178082,raw_cos,rbf_svm
1,615,154,0.6688311688311688,0.6635379671909352,0.6866226957551158,raw_cos,random_forest
2,615,154,0.5844155844155844,0.584644004735329,0.6325046507694909,raw_cos,random_forest
3,615,154,0.6688311688311688,0.6635379671909352,0.7451378318958227,raw_cos,random_forest
4,615,154,0.6428571428571429,0.6401995602908845,0.7018433959073228,raw_cos,random_forest
5,616,153,0.6339869281045751,0.6278253424657534,0.6900684931506849,raw_cos,random_forest
1,615,154,0.6948051948051948,0.6902587519025876,0.693387451378319,raw_cos,extra_trees
2,615,154,0.577922077922078,0.5777946896668358,0.6475562320311179,raw_cos,extra_trees
3,615,154,0.7012987012987013,0.6971080669710807,0.7547776086588872,raw_cos,extra_trees
4,615,154,0.6818181818181818,0.6806189751395231,0.7116522915609673,raw_cos,extra_trees
5,616,153,0.6339869281045751,0.6308219178082192,0.6875,raw_cos,extra_trees
1,615,154,0.6233766233766234,0.6176221883984441,0.6287840351767292,raw_cos,gradient_boosting
2,615,154,0.6038961038961039,0.606544901065449,0.6534753932014207,raw_cos,gradient_boosting
3,615,154,0.6363636363636364,0.6333502452223914,0.7075934381870455,raw_cos,gradient_boosting
4,615,154,0.6298701298701299,0.6271774057162185,0.6675122611195671,raw_cos,gradient_boosting
5,616,153,0.6013071895424836,0.5965753424657534,0.6351027397260274,raw_cos,gradient_boosting
1,615,154,0.6233766233766234,0.619651615085405,0.6827329612717741,centered_cos,logistic_l2
2,615,154,0.6298701298701299,0.6271774057162185,0.688990360223237,centered_cos,logistic_l2
3,615,154,0.7077922077922078,0.7080162354134957,0.7459834263487233,centered_cos,logistic_l2
4,615,154,0.6428571428571429,0.6388466091662439,0.6817182479282937,centered_cos,logistic_l2
5,616,153,0.5620915032679739,0.5596746575342466,0.6196917808219179,centered_cos,logistic_l2
1,615,154,0.6428571428571429,0.6415525114155252,0.6856079824116355,centered_cos,linear_svm
2,615,154,0.6168831168831169,0.6148317267038728,0.6852697446304752,centered_cos,linear_svm
3,615,154,0.7077922077922078,0.7039573820395738,0.7568070353458481,centered_cos,linear_svm
4,615,154,0.6493506493506493,0.6443429731100964,0.6886521224420767,centered_cos,linear_svm
5,616,153,0.5751633986928104,0.5727739726027397,0.5988013698630136,centered_cos,linear_svm
1,615,154,0.6233766233766234,0.6135633350245222,0.6925418569254185,centered_cos,rbf_svm
2,615,154,0.6428571428571429,0.6395230847285642,0.6675122611195671,centered_cos,rbf_svm
3,615,154,0.7272727272727273,0.7238288516827329,0.7683071199052934,centered_cos,rbf_svm
4,615,154,0.6688311688311688,0.6628614916286149,0.6966007102993405,centered_cos,rbf_svm
5,616,153,0.6143790849673203,0.6126712328767123,0.6477739726027397,centered_cos,rbf_svm
1,615,154,0.6298701298701299,0.6237950279046169,0.6438356164383563,centered_cos,random_forest
2,615,154,0.6688311688311688,0.6662438694402164,0.7052257737189244,centered_cos,random_forest
3,615,154,0.6558441558441559,0.6545746659901911,0.723997970573313,centered_cos,random_forest
4,615,154,0.6363636363636364,0.6333502452223914,0.7057331303906647,centered_cos,random_forest
5,616,153,0.6274509803921569,0.6197773972602739,0.6727739726027397,centered_cos,random_forest
1,615,154,0.6558441558441559,0.6532217148655505,0.6470488753593776,centered_cos,extra_trees
2,615,154,0.6753246753246753,0.6737696600710299,0.7023507525790632,centered_cos,extra_trees
3,615,154,0.6623376623376623,0.6607475054963639,0.7273803483849147,centered_cos,extra_trees
4,615,154,0.6688311688311688,0.6682732961271773,0.6964315914087603,centered_cos,extra_trees
5,616,153,0.6470588235294118,0.6421232876712328,0.6797945205479452,centered_cos,extra_trees
1,615,154,0.6233766233766234,0.6155927617114831,0.6424826653137156,centered_cos,gradient_boosting
2,615,154,0.6233766233766234,0.6210045662100456,0.6580416032470827,centered_cos,gradient_boosting
3,615,154,0.6493506493506493,0.6470488753593776,0.7023507525790631,centered_cos,gradient_boosting
4,615,154,0.5844155844155844,0.5792322002367665,0.6675122611195671,centered_cos,gradient_boosting
5,616,153,0.6339869281045751,0.6290239726027398,0.651541095890411,centered_cos,gradient_boosting
1,615,154,0.6428571428571429,0.6381701336039236,0.6705564011500086,projection,logistic_l2
2,615,154,0.6103896103896104,0.6133942161339422,0.6426517842042957,projection,logistic_l2
3,615,154,0.6558441558441559,0.6572805682394723,0.7130052426856079,projection,logistic_l2
4,615,154,0.5909090909090909,0.5887874175545409,0.613225097243362,projection,logistic_l2
5,616,153,0.6339869281045751,0.6326198630136985,0.688013698630137,projection,logistic_l2
1,615,154,0.6298701298701299,0.6251479790292576,0.6676813800101471,projection,linear_svm
2,615,154,0.6298701298701299,0.6319127346524607,0.6666666666666667,projection,linear_svm
3,615,154,0.6688311688311688,0.669626247251818,0.7072552004058853,projection,linear_svm
4,615,154,0.5909090909090909,0.5887874175545409,0.615085405039743,projection,linear_svm
5,616,153,0.6601307189542484,0.6582191780821918,0.7066780821917807,projection,linear_svm
1,615,154,0.5909090909090909,0.58675799086758,0.6201589717571452,projection,rbf_svm
2,615,154,0.5909090909090909,0.5840520886182986,0.5947911381701336,projection,rbf_svm
3,615,154,0.6818181818181818,0.6799424995772028,0.6683578555724675,projection,rbf_svm
4,615,154,0.5714285714285714,0.5682394723490614,0.6360561474716726,projection,rbf_svm
5,616,153,0.6405228758169934,0.6370719178082191,0.6525684931506849,projection,rbf_svm
1,615,154,0.564935064935065,0.5620666328428885,0.5892102147809911,projection,random_forest
2,615,154,0.5584415584415584,0.5538643666497547,0.593438187045493,projection,random_forest
3,615,154,0.6363636363636364,0.632673769660071,0.6506003720615592,projection,random_forest
4,615,154,0.564935064935065,0.5634195839675291,0.6007102993404363,projection,random_forest
5,616,153,0.6535947712418301,0.6501712328767123,0.6638698630136985,projection,random_forest
1,615,154,0.5584415584415584,0.5531878910874345,0.5883646203280907,projection,extra_trees
2,615,154,0.5454545454545454,0.5408422120750888,0.5746659901911044,projection,extra_trees
3,615,154,0.6688311688311688,0.6669203450025367,0.6776593945543717,projection,extra_trees
4,615,154,0.538961038961039,0.5366987992558769,0.5638423811939794,projection,extra_trees
5,616,153,0.6143790849673203,0.6120719178082192,0.6440068493150685,projection,extra_trees
1,615,154,0.5584415584415584,0.5545408422120751,0.6074750549636393,projection,gradient_boosting
