layer,n,mean_cosine_delta,median_cosine_delta,frac_cosine_new,mean_centered_cosine_delta,median_centered_cosine_delta,frac_centered_cosine_new,mean_projection,median_projection,frac_projection_new,mean_normalized_projection
0,864,-6.254943354825616e-06,-1.1667532340275955e-06,0.48726851851851855,-0.006049667009158805,-1.748545471935703e-05,0.4988425925925926,-0.0004712175564248309,-0.00018853518050976313,0.49189814814814814,0.0026948047405603273
1,864,-1.8643058147313896e-05,-2.1432733138260218e-07,0.4976851851851852,-0.0032242004660277238,-0.00014542163578346035,0.49537037037037035,-0.0008072441734749824,-5.971984414091902e-05,0.49537037037037035,-0.004286546182078244
2,864,-2.587610492261487e-05,3.309090002401316e-06,0.5104166666666666,-0.0009616672977558991,0.0006636641224574413,0.5173611111111112,0.00016138730551298726,0.0005892535951790596,0.5185185185185185,0.025056825775708738
3,864,-0.0005460907884145104,-0.0001594174327314568,0.39467592592592593,-0.012472941736705124,-0.002900421936115949,0.3900462962962963,-0.0196571198915974,-0.01542262972833116,0.38773148148148145,-0.14719796333260515
4,864,-0.0006236385978449264,-0.0002499140854911319,0.3773148148148148,-0.010724149934533167,-0.0034178352523506206,0.37962962962962965,-0.02978853856072566,-0.026857212454959818,0.3773148148148148,-0.16868669182338258
5,864,-0.0005399405283652368,-0.00020759301604372782,0.3715277777777778,-0.012190591246179784,-0.00430147773303674,0.37037037037037035,-0.031222597804071037,-0.02996785415343034,0.3761574074074074,-0.18201142709305543
6,864,-0.00044928106935065824,-0.0001923015623224722,0.39699074074074076,-0.010863287815989067,-0.004135876382393544,0.40046296296296297,-0.023718523057269545,-0.02342851731801554,0.4027777777777778,-0.14672349568076953
7,864,-0.0019130195355210847,-0.0004893926390140968,0.3090277777777778,-0.025452714592279737,-0.0053970229184332474,0.3159722222222222,-0.07716727022280624,-0.058195160508439495,0.30671296296296297,-0.23638454068742032
8,864,-0.002099780046517633,-0.000518113555701083,0.3125,-0.026345263688796663,-0.00540816205281347,0.3125,-0.07735065517079195,-0.056627219852944624,0.3113425925925926,-0.2315753075048495
9,864,-0.0018707000124720751,-0.00046193372545266786,0.3287037037037037,-0.02505511250646461,-0.0048718986498040295,0.3287037037037037,-0.07115867900612284,-0.05676232430297844,0.3263888888888889,-0.20588276746144463
10,864,-0.0013582751574574914,-0.0003520145686731202,0.3645833333333333,-0.02181423467188837,-0.0042757967254360985,0.3680555555555556,-0.05583633020478292,-0.042703650000875185,0.37037037037037035,-0.15651519296464927
11,864,-0.0031107036784966823,-0.0007955529349717438,0.2824074074074074,-0.023874078638107647,-0.0054764867221819835,0.28587962962962965,-0.12541634017744363,-0.09318819913309687,0.2962962962962963,-0.2612591429575605
12,864,-0.002895960390426531,-0.0005976378681291639,0.3449074074074074,-0.020334754263356396,-0.0038845306797905543,0.3425925925925926,-0.11121416817786474,-0.07737887445910846,0.3472222222222222,-0.20030880526366854
13,864,-0.00260588111060854,-0.0004696683550337033,0.3784722222222222,-0.01814616185106307,-0.0031641252610857262,0.37037037037037035,-0.08922616756219952,-0.06201307204985076,0.38310185185185186,-0.14410446569715626
14,864,-0.001969812365871915,-0.0002942152336697368,0.4131944444444444,-0.01617069536099137,-0.002227135317989848,0.4039351851851852,-0.0682243771432167,-0.03705155392249519,0.41898148148148145,-0.09631869338887615
15,864,-0.004760242931513342,-0.0009579470754183528,0.3715277777777778,-0.022371460462233345,-0.0042584131466654185,0.37037037037037035,-0.1559645464392794,-0.10999811618418862,0.3726851851851852,-0.17289724264873582
16,864,-0.004253848979992089,-0.0010698419751545285,0.39699074074074076,-0.017674571734481,-0.0038908070204281553,0.3958333333333333,-0.13954262385074787,-0.1134477354700355,0.39467592592592593,-0.1433613422479034
17,864,-0.0031240776356444558,-0.0010883533824793679,0.4097222222222222,-0.012116581892812587,-0.0032888226102358864,0.42824074074074076,-0.09602971371213503,-0.09831398036622502,0.41087962962962965,-0.10420954436689141
18,864,-0.00216743185054297,-0.0006475410997838216,0.44907407407407407,-0.008558425188023142,-0.002415323509128986,0.44907407407407407,-0.07234234189893657,-0.08442425684068754,0.44907407407407407,-0.07009791273298863
19,864,-0.003924666872960548,-0.0009982810062872938,0.41782407407407407,-0.01045748371917784,-0.002498543454067248,0.4166666666666667,-0.16334705306917335,-0.16342285797845002,0.41782407407407407,-0.12094684630864487
20,864,-0.0028238718540724455,-0.0008135412440857803,0.42592592592592593,-0.006189692575073664,-0.0020239537267501273,0.42939814814814814,-0.13960966619477283,-0.15705958171845102,0.4270833333333333,-0.10316260530547848
21,864,-0.0023461873009939832,-0.0007492003986964146,0.4363425925925926,-0.004116996693552383,-0.0018143437143072205,0.4386574074074074,-0.1305672632194722,-0.16342699078562287,0.4363425925925926,-0.08644989616103922
22,864,-0.003208139091341158,-0.0007210332939616149,0.4340277777777778,-0.0038295752994798767,-0.0017515593513848238,0.4409722222222222,-0.15140298004919486,-0.22721051454340702,0.4340277777777778,-0.08622259081180197
23,864,-0.003077597389944418,-0.0009474607322114137,0.4201388888888889,-0.004441755379067951,-0.002194583782025361,0.42824074074074076,-0.18915724535124523,-0.2637430939042622,0.41898148148148145,-0.09307730829125838
24,864,-0.002940552002450648,-0.0008862630900685065,0.4236111111111111,-0.0035184683709120817,-0.001784732889396845,0.42824074074074076,-0.19864488117778828,-0.2793707146708665,0.41898148148148145,-0.08649716187542031
25,864,-0.0029798206440892214,-0.0008983479386225901,0.42592592592592593,-0.0031983638686373713,-0.0018387555168546954,0.4305555555555556,-0.213345470239229,-0.28743113625092687,0.42939814814814814,-0.08645967267300872
26,864,-0.003287866404660061,-0.0006227613642499352,0.41898148148148145,-0.0021140995751939336,-0.0017631165715862873,0.4305555555555556,-0.2005050324759958,-0.35455052703416723,0.42476851851851855,-0.08954675968302175
27,864,-0.0035205096060274754,-0.0007811374024147555,0.4224537037037037,-0.005001215682924411,-0.0015235711390960138,0.42592592592592593,-0.2598978671407565,-0.35806161388576585,0.4212962962962963,-0.09502282382556662
28,864,-0.00280388675677535,-0.0008232144366928096,0.41898148148148145,-0.003624813847832461,-0.0018007232632335501,0.4236111111111111,-0.23075904889951154,-0.4133563105392226,0.4131944444444444,-0.0884926145250731
29,864,-0.002480428298514612,-0.0008697111256799062,0.42824074074074076,-0.0027343951521088183,-0.0017445886892688,0.42824074074074076,-0.22480077183242245,-0.4439075251491519,0.41898148148148145,-0.08561800527245103
30,864,-0.0025924269913648306,-0.0008442924121396245,0.4386574074074074,-0.0022880387275048034,-0.001671572581881442,0.44212962962962965,-0.1792968731418942,-0.5124721025597957,0.4363425925925926,-0.0705571403016776
31,864,-0.0004835614419664774,-0.0008136431021810164,0.4525462962962963,0.0005766050534484408,-0.0016852776744714637,0.44560185185185186,-0.33930560264459403,-1.2681803448763695,0.4537037037037037,-0.05134159723321598
