name,n_folds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,layer,n,new_rate
layer_0,5,0.6306595365418894,0.04743292411028661,0.6265224928124471,0.047344007685594436,0.647673769660071,0.04205148190039503,0,769,0.47464239271781533
layer_1,5,0.6163992869875223,0.029152307608664555,0.6133944275325554,0.02968521171497455,0.6424881616776593,0.044032730332062786,1,769,0.47464239271781533
layer_2,5,0.5994652406417113,0.034740044500316196,0.5965914087603584,0.035403207490065244,0.6384732792152883,0.046413483758026196,2,769,0.47464239271781533
layer_3,5,0.55650623885918,0.04920292531009748,0.5542852612886858,0.050087362907987085,0.5541087434466431,0.05782940407082496,3,769,0.47464239271781533
layer_4,5,0.540887870299635,0.05491600665047862,0.5388675376289532,0.055439672801562284,0.5500617283950617,0.04947980276345499,4,769,0.47464239271781533
layer_5,5,0.5382904677022324,0.04886064013303622,0.5369241501775749,0.048984821097487245,0.5509263487231524,0.05226047538803002,5,769,0.47464239271781533
layer_6,5,0.5513284101519396,0.03526863504034425,0.5505492135971588,0.03561420184972531,0.5684961102655166,0.03705484536935458,6,769,0.47464239271781533
layer_7,5,0.5448688566335624,0.033310603806770686,0.5423623795027905,0.03365426577539315,0.5743877896161,0.05196865355154584,7,769,0.47464239271781533
layer_8,5,0.5526440879382056,0.03772583452869398,0.5496190596989683,0.036741346339627244,0.5772260273972603,0.05774384773838927,8,769,0.47464239271781533
layer_9,5,0.547415329768271,0.061318642148791964,0.544108743446643,0.06003030758464253,0.5688787417554542,0.0639156185138659,9,769,0.47464239271781533
layer_10,5,0.5682115270350565,0.06140400627034351,0.5651839167935059,0.059468150290304805,0.5889869778454253,0.0654188533481221,10,769,0.47464239271781533
layer_11,5,0.5552754435107377,0.020047818554192343,0.5531551243023846,0.018772405305833417,0.566202012514798,0.034684669310743,11,769,0.47464239271781533
layer_12,5,0.5539343009931245,0.017953448285491874,0.5531809149331981,0.016053948695660382,0.5554781836631152,0.0337457572082036,12,769,0.47464239271781533
layer_13,5,0.5604447839741956,0.029679575591475806,0.5603471165229157,0.02816915655213597,0.5594089294774227,0.03716173805933406,13,769,0.47464239271781533
layer_14,5,0.5304897716662422,0.04297204957437776,0.5311675545408423,0.042172794731640866,0.5422543548114324,0.043906953543395466,14,769,0.47464239271781533
layer_15,5,0.5331465919701214,0.03732032573629492,0.5352447995941146,0.037196696090437076,0.5345911550820226,0.040648608239483665,15,769,0.47464239271781533
layer_16,5,0.4928359222476869,0.01631342960911349,0.4943562912227296,0.015178912180995477,0.5108168442415019,0.022686155399560346,16,769,0.47464239271781533
layer_17,5,0.5253374076903489,0.02344709302355859,0.5259586927109757,0.02076708159482382,0.5310189413157451,0.027173956884853172,17,769,0.47464239271781533
layer_18,5,0.5331296154825567,0.041085156149764976,0.5339535768645358,0.03890028418560873,0.5500312869947572,0.03511300237008711,18,769,0.47464239271781533
layer_19,5,0.5305322128851541,0.045191415078883294,0.5309278285134449,0.04423325264503818,0.5560912396414679,0.047265302497582214,19,769,0.47464239271781533
layer_20,5,0.5240047534165181,0.047607060816064674,0.5247086927109759,0.04631724203906053,0.5603001860307797,0.05244655408224093,20,769,0.47464239271781533
layer_21,5,0.5123249299719888,0.04606120480451649,0.5130409690512431,0.04465519206698716,0.5528902418400137,0.05351342019926757,21,769,0.47464239271781533
layer_22,5,0.5266445972328324,0.047289930820877506,0.5277035768645357,0.04521741126434119,0.5706659056316591,0.05906368693951705,22,769,0.47464239271781533
layer_23,5,0.5344792462439522,0.04463755678240616,0.5346932606122102,0.04432265260240224,0.5691146626078133,0.05605458081296254,23,769,0.47464239271781533
layer_24,5,0.5253713606654783,0.05882952630140935,0.5259005580923389,0.058995619687604896,0.5623148148148148,0.05578472844503787,24,769,0.47464239271781533
layer_25,5,0.5357864357864358,0.045724592356297764,0.5363491459496027,0.04631155723388436,0.5659449518011163,0.04889475381202473,25,769,0.47464239271781533
layer_26,5,0.5461505814446991,0.015934250285687523,0.5464345509893456,0.016413730251278284,0.5781079824116354,0.02928927108781574,26,769,0.47464239271781533
layer_27,5,0.5383498854087089,0.03099218393887946,0.5381418061897514,0.030632539783674653,0.5927777777777778,0.049397148447666434,27,769,0.47464239271781533
layer_28,5,0.5396485867074101,0.030475682581636455,0.5396469643159142,0.029612763150190385,0.5917469981396921,0.04856009747112836,28,769,0.47464239271781533
layer_29,5,0.543587131822426,0.03183653007642188,0.5430219431760528,0.03068946674982557,0.5862654320987654,0.046454913557878376,29,769,0.47464239271781533
layer_30,5,0.5383583736524912,0.027962119360360357,0.5383233975985118,0.028149069779859644,0.5811808726534753,0.04622744963577186,30,769,0.47464239271781533
layer_31,5,0.534453781512605,0.026327472080641397,0.5331160155589378,0.024257529397058702,0.5837020125147979,0.045846038100476404,31,769,0.47464239271781533
