pair_label,pair_label_display,layer,n,mean_cos_org,mean_cos_new,mean_centered_cos_org,mean_centered_cos_new,mean_projection,mean_normalized_projection
1,1: new,0,365,0.9998736027566817,0.9998778298245526,0.8931139703998345,0.8957288986998215,0.0010631998466891024,0.12884317732171197
1,1: new,1,365,0.9996698944056507,0.9996716919527326,0.9239964632139595,0.9253090385814488,0.0014854570021739849,0.099022142249901
1,1: new,2,365,0.999053077253535,0.9990811132960741,0.9144983472955186,0.9185516027274063,0.003984655463451545,0.13872437144450425
1,1: new,3,365,0.9972965867158226,0.9968927793114153,0.935985566986735,0.9277028194602457,-0.011705530424128193,-0.06661131219006464
1,1: new,4,365,0.9961344996206837,0.9957454804938468,0.9346856985472471,0.9277971498269678,-0.016810835767406253,-0.08584969051145713
1,1: new,5,365,0.9970095142615144,0.9966979726350113,0.9345061324806314,0.9271874878201108,-0.01726659125129072,-0.09656886694141421
1,1: new,6,365,0.9967193142140659,0.9965153008990051,0.9252153263861632,0.9201997478910912,-0.008250179603616124,-0.04180433297703007
1,1: new,7,365,0.995934683117551,0.9952189422470473,0.9518224643785465,0.9416673857787032,-0.04289660495213251,-0.14461626221147098
1,1: new,8,365,0.9957372321340233,0.9949468832296968,0.951780516477765,0.9418113936855881,-0.04387504015868118,-0.14728221942320613
1,1: new,9,365,0.9956869788496412,0.9950641026294189,0.9483929812023701,0.9400605997108947,-0.03533027841596145,-0.11867756979811234
1,1: new,10,365,0.995506828633781,0.9951818008385778,0.9377086149519802,0.9330277176283378,-0.01749669119549991,-0.0561174928581811
1,1: new,11,365,0.995037898935935,0.9926242576545878,0.9626302243787168,0.9437518586757576,-0.0881040531382562,-0.17146072670537643
1,1: new,12,365,0.9940740410194017,0.9919356725459286,0.9594663953188122,0.943738131534742,-0.0744341062260684,-0.12210806553796619
1,1: new,13,365,0.9922571753078331,0.9907255425355641,0.9490771932424988,0.9374380902453444,-0.04138306918559277,-0.05018626594428729
1,1: new,14,365,0.992381384928958,0.9911784745665012,0.9442934417199886,0.934095164531502,-0.02752027781580314,-0.017216082838818647
1,1: new,15,365,0.9867304038435742,0.9845689311205573,0.9429337369517772,0.9315833382953287,-0.07421093355473876,-0.09751326788325403
1,1: new,16,365,0.9823021408222296,0.9807574136670361,0.9333470078851732,0.9248320311356737,-0.06345881435703969,-0.0850180974369163
1,1: new,17,365,0.9748954012234938,0.9749328428316509,0.9119485794487854,0.9100980892389408,-0.006367748840935369,-0.033690312866873864
1,1: new,18,365,0.970025953579664,0.97149516416981,0.8930497992971668,0.896609575214275,0.0556301984299505,0.03347806995238378
1,1: new,19,365,0.9627957636138954,0.967301855649188,0.9076365893446128,0.9178311204577021,0.1066073105921681,-0.0007011641300332929
1,1: new,20,365,0.9594745716105352,0.9658050042812033,0.9031399693494039,0.9180037045455187,0.17005705251805464,0.02019476402319068
1,1: new,21,365,0.9566047900810614,0.9639762425211211,0.9002136128497051,0.9176161374210903,0.21478343621594742,0.03185207845634838
