feature_group,classifier_model,name,n_folds,n_samples,n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,feature_names
majority_baseline,majority_baseline,majority_baseline,5,769,0,0.5253543841779136,0.001385561177807347,0.5,0.0,0.5,0.0,
raw_cos,logistic_l2,raw_cos__logistic_l2,5,769,64,0.6488837959426195,0.02074427187024044,0.6459865973279215,0.019242939061930146,0.700229156096736,0.03668930364807955,"cos_org,cos_new"
raw_cos,linear_svm,raw_cos__linear_svm,5,769,64,0.6670995670995671,0.026126895025119286,0.6632124133265686,0.025120274032951317,0.6960286656519534,0.037458078241894954,"cos_org,cos_new"
raw_cos,rbf_svm,raw_cos__rbf_svm,5,769,64,0.6593158475511418,0.02898839954695969,0.6549932352443768,0.028838367805633678,0.7049044478268222,0.04118906117043672,"cos_org,cos_new"
raw_cos,random_forest,raw_cos__random_forest,5,769,64,0.639784398607928,0.03462725706480408,0.6359489683747673,0.03255213447282711,0.6912354134956874,0.04028008614276839,"cos_org,cos_new"
raw_cos,extra_trees,raw_cos__extra_trees,5,769,64,0.6579662167897462,0.0519273559975197,0.6553204802976492,0.05054039681525943,0.6989747167258582,0.0389917647654439,"cos_org,cos_new"
raw_cos,gradient_boosting,raw_cos__gradient_boosting,5,769,64,0.6189627366097954,0.01565220990742626,0.6162540165736512,0.014958195889783784,0.658493573482158,0.031412988333641825,"cos_org,cos_new"
centered_cos,logistic_l2,centered_cos__logistic_l2,5,769,64,0.6331975214328155,0.052012649691247616,0.6306733045831219,0.05296989401604211,0.6838233553187892,0.04474665253926845,"centered_cos_org,centered_cos_new"
centered_cos,linear_svm,centered_cos__linear_svm,5,769,64,0.6384093031151854,0.04852036922040344,0.6354917131743616,0.04786171725476683,0.6830276509386098,0.05608204650702282,"centered_cos_org,centered_cos_new"
centered_cos,rbf_svm,centered_cos__rbf_svm,5,769,64,0.6553433494609966,0.04530895209878624,0.6504895991882294,0.0459503861081793,0.6945471841704718,0.04573671066893334,"centered_cos_org,centered_cos_new"
centered_cos,random_forest,centered_cos__random_forest,5,769,64,0.6436720142602496,0.017945545613116717,0.6395482411635379,0.020099223632222708,0.6903132927447997,0.03186931576034934,"centered_cos_org,centered_cos_new"
centered_cos,extra_trees,centered_cos__extra_trees,5,769,64,0.6618792971734148,0.0110157408023336,0.6596270928462709,0.012484354469391484,0.6906012176560121,0.029741975842599803,"centered_cos_org,centered_cos_new"
centered_cos,gradient_boosting,centered_cos__gradient_boosting,5,769,64,0.6229012817248111,0.024000319790646703,0.6183804752240826,0.024911873862579714,0.664385675629968,0.023108953614202607,"centered_cos_org,centered_cos_new"
projection,logistic_l2,projection__logistic_l2,5,769,32,0.626797385620915,0.026031255105048407,0.6260504397091156,0.02604840708161608,0.6654904447826823,0.038871222864636894,projection
projection,linear_svm,projection__linear_svm,5,769,32,0.6359222476869536,0.03069400476974893,0.6347387113140538,0.03154347068523837,0.6726733468628445,0.03784705273440007,projection
projection,rbf_svm,projection__rbf_svm,5,769,32,0.6151175621763858,0.04520849117294968,0.6112127938440723,0.046300416843830405,0.6343865212244207,0.028537873236189365,projection
projection,random_forest,projection__random_forest,5,769,32,0.595654019183431,0.045515050298619825,0.5924391171993911,0.04528922867017915,0.6195657872484356,0.03494867050538872,projection
projection,extra_trees,projection__extra_trees,5,769,32,0.5852134793311264,0.05540610832922577,0.5819442330458312,0.056329542874874086,0.609707847116523,0.048941139090314396,projection
projection,gradient_boosting,projection__gradient_boosting,5,769,32,0.5930226636108988,0.02538672161091207,0.5899082530018603,0.0253802361480527,0.6392097919837646,0.024027717050886986,projection
normalized_projection,logistic_l2,normalized_projection__logistic_l2,5,769,32,0.5942789236906884,0.01488103767923613,0.5940730170810079,0.015758702561590964,0.6259107052257737,0.0207708193763424,normalized_projection
normalized_projection,linear_svm,normalized_projection__linear_svm,5,769,32,0.5890841184958833,0.025140610489127944,0.5888795873499071,0.02601829556981643,0.6213960764417384,0.021447371808255858,normalized_projection
normalized_projection,rbf_svm,normalized_projection__rbf_svm,5,769,32,0.5786775316187082,0.03152373353676909,0.5786244292237442,0.03169582823288537,0.58593734145104,0.04183300364487207,normalized_projection
normalized_projection,random_forest,normalized_projection__random_forest,5,769,32,0.5669552669552669,0.028785075829070757,0.5639956451885675,0.02941775061460226,0.586604938271605,0.03645331407417349,normalized_projection
normalized_projection,extra_trees,normalized_projection__extra_trees,5,769,32,0.5540022069433834,0.03366174115638842,0.5535749619482496,0.03364151316490565,0.5753572636563503,0.03528831434875759,normalized_projection
normalized_projection,gradient_boosting,normalized_projection__gradient_boosting,5,769,32,0.5578558696205755,0.039373448700804586,0.5539734483341789,0.04096611428960903,0.5999086757990867,0.04463392860203876,normalized_projection
all_geometry_no_delta,logistic_l2,all_geometry_no_delta__logistic_l2,5,769,192,0.678745437568967,0.04308999917381918,0.6772382885168272,0.04304379371140804,0.7167926602401489,0.035035654929736974,"cos_org,cos_new,centered_cos_org,centered_cos_new,projection,normalized_projection"
all_geometry_no_delta,linear_svm,all_geometry_no_delta__linear_svm,5,769,192,0.6709617180205415,0.04087129486419613,0.6691081092508033,0.04010593461552421,0.7016954168780654,0.03751922812551578,"cos_org,cos_new,centered_cos_org,centered_cos_new,projection,normalized_projection"
all_geometry_no_delta,rbf_svm,all_geometry_no_delta__rbf_svm,5,769,192,0.6748747984042102,0.033768485913678765,0.6733992897006595,0.034520897416041106,0.7282360899712498,0.04684798344129409,"cos_org,cos_new,centered_cos_org,centered_cos_new,projection,normalized_projection"
all_geometry_no_delta,random_forest,all_geometry_no_delta__random_forest,5,769,192,0.6527968763262881,0.02451650724766546,0.649257145273127,0.02537296175758126,0.7101606629460511,0.03774573456331348,"cos_org,cos_new,centered_cos_org,centered_cos_new,projection,normalized_projection"
all_geometry_no_delta,extra_trees,all_geometry_no_delta__extra_trees,5,769,192,0.661904761904762,0.03606998521640069,0.6595962286487401,0.03690706464158266,0.7154693049213596,0.03541079586071752,"cos_org,cos_new,centered_cos_org,centered_cos_new,projection,normalized_projection"
