layer,n_labelled,cosine_agreement,centered_cosine_agreement,projection_agreement,pair_new_rate
0,769.0,0.5695708712613784,0.5734720416124838,0.5578673602080624,0.47464239271781533
1,769.0,0.5734720416124838,0.5799739921976593,0.5747724317295189,0.47464239271781533
2,769.0,0.5643693107932379,0.5695708712613784,0.5734720416124838,0.47464239271781533
3,769.0,0.5422626788036411,0.5474642392717816,0.5500650195058517,0.47464239271781533
4,769.0,0.552665799739922,0.5370611183355006,0.5552665799739922,0.47464239271781533
5,769.0,0.5487646293888166,0.5435630689206762,0.5487646293888166,0.47464239271781533
6,769.0,0.5552665799739922,0.5591677503250976,0.5552665799739922,0.47464239271781533
7,769.0,0.5604681404421327,0.5591677503250976,0.5578673602080624,0.47464239271781533
8,769.0,0.5578673602080624,0.5578673602080624,0.5539661898569571,0.47464239271781533
9,769.0,0.5552665799739922,0.5643693107932379,0.5552665799739922,0.47464239271781533
10,769.0,0.5643693107932379,0.5708712613784135,0.5617685305591678,0.47464239271781533
11,769.0,0.5565669700910273,0.5539661898569571,0.5539661898569571,0.47464239271781533
12,769.0,0.5474642392717816,0.540962288686606,0.5474642392717816,0.47464239271781533
13,769.0,0.5487646293888166,0.5565669700910273,0.5539661898569571,0.47464239271781533
14,769.0,0.5461638491547465,0.5396618985695709,0.5448634590377113,0.47464239271781533
15,769.0,0.5331599479843954,0.5357607282184655,0.5318595578673602,0.47464239271781533
16,769.0,0.5123537061118335,0.505851755526658,0.5110533159947984,0.47464239271781533
17,769.0,0.5279583875162549,0.5227568270481144,0.52925877763329,0.47464239271781533
18,769.0,0.5344603381014305,0.5331599479843954,0.5383615084525357,0.47464239271781533
19,769.0,0.5487646293888166,0.5396618985695709,0.5487646293888166,0.47464239271781533
20,769.0,0.5539661898569571,0.5461638491547465,0.5565669700910273,0.47464239271781533
21,769.0,0.5487646293888166,0.5357607282184655,0.5448634590377113,0.47464239271781533
22,769.0,0.5487646293888166,0.5422626788036411,0.552665799739922,0.47464239271781533
23,769.0,0.552665799739922,0.5487646293888166,0.5578673602080624,0.47464239271781533
24,769.0,0.552665799739922,0.5487646293888166,0.5539661898569571,0.47464239271781533
25,769.0,0.5539661898569571,0.5513654096228868,0.5578673602080624,0.47464239271781533
26,769.0,0.5500650195058517,0.5461638491547465,0.5500650195058517,0.47464239271781533
27,769.0,0.5552665799739922,0.5565669700910273,0.5604681404421327,0.47464239271781533
28,769.0,0.5669700910273082,0.5591677503250976,0.5656697009102731,0.47464239271781533
29,769.0,0.5604681404421327,0.5539661898569571,0.5656697009102731,0.47464239271781533
30,769.0,0.5539661898569571,0.5448634590377113,0.5539661898569571,0.47464239271781533
31,769.0,0.5578673602080624,0.552665799739922,0.5617685305591678,0.47464239271781533
