model,outcome,paired_n,non_thinking_rate,thinking_rate,difference_pp,gain,loss,exact_mcnemar_p
google/gemma-4-12B-it,Ask clarification (L2),213,0.018779342723004695,0.046948356807511735,2.816901408450704,7,1,0.0703125
google/gemma-4-12B-it,Self-resolve + answer (L3),213,0.046948356807511735,0.046948356807511735,0.0,6,6,1.0
google/gemma-4-12B-it,Acknowledges conflict (L2+L3),213,0.06572769953051644,0.09389671361502347,2.816901408450703,12,6,0.237884521484375
google/gemma-4-E4B-it,Ask clarification (L2),862,0.012761020881670533,0.01740139211136891,0.46403712296983757,13,9,0.5234670639038086
google/gemma-4-E4B-it,Self-resolve + answer (L3),862,0.04524361948955916,0.09280742459396751,4.756380510440835,58,17,2.1823279653758547e-06
google/gemma-4-E4B-it,Acknowledges conflict (L2+L3),862,0.058004640371229696,0.11020881670533643,5.2204176334106736,66,21,1.410078387314761e-06
