conflict_type_idx,layer,n,mean_cosine_delta,frac_cosine_new,mean_centered_cosine_delta,frac_centered_cosine_new,mean_projection,frac_projection_new
1,0,100,-3.7784469238810737e-06,0.48,-0.007741278445645095,0.45,-0.0028508996649930798,0.44
1,1,100,-8.771898491301e-06,0.5,-0.006600007852558373,0.47,-0.0048896482274192925,0.48
1,2,100,-1.5530525075229118e-05,0.5,-0.0050116212619731705,0.49,-0.005309813861474881,0.5
1,3,100,-6.061039774376886e-05,0.46,-0.003896511937060615,0.44,-0.02015647666814759,0.45
1,4,100,-0.00011698153825995928,0.46,-0.005350441833840096,0.45,-0.03775105828053318,0.47
1,5,100,-9.866972149021436e-05,0.46,-0.005731982804129556,0.44,-0.038489834040173046,0.45
1,6,100,-0.00011430865868081064,0.44,-0.005698367035783212,0.44,-0.03840091647460598,0.44
1,7,100,-0.0001544651645011641,0.42,-0.004824411672346814,0.44,-0.05163404165039912,0.43
1,8,100,-0.0002198701236489775,0.45,-0.004790950626150704,0.47,-0.06487245235517192,0.44
1,9,100,-0.00015461096109787743,0.47,-0.004214191916735761,0.47,-0.055735489629324134,0.45
1,10,100,-0.00013466063358652747,0.46,-0.0031806272552004655,0.48,-0.03983180437862779,0.46
1,11,100,-0.0001254444074599137,0.46,-0.0020459473231386194,0.46,-0.029162285919266052,0.45
1,12,100,1.624864457027586e-05,0.55,0.0010765551509608006,0.54,0.03462314474382297,0.56
1,13,100,0.00028508428388684503,0.62,0.004842914045677925,0.64,0.1288859212447424,0.62
1,14,100,0.00034362036398900896,0.62,0.005767261844910054,0.63,0.1524828700452223,0.64
1,15,100,0.0006587030062554011,0.63,0.007254218278002631,0.59,0.1945133027111345,0.62
1,16,100,0.0010000912553226526,0.6,0.008458651617365857,0.59,0.2905636397401917,0.62
1,17,100,0.001304581829210354,0.6,0.009245285387406233,0.62,0.36041475019170527,0.61
1,18,100,0.001954093883515209,0.67,0.011843350341073578,0.65,0.5759142169956747,0.67
1,19,100,0.001824089168096512,0.66,0.00859866567438506,0.62,0.5841115686071421,0.65
1,20,100,0.0022136102899193866,0.67,0.009238663812049564,0.64,0.7864203373307299,0.66
1,21,100,0.0025881778055489224,0.64,0.009825030946844105,0.64,1.0054442856356978,0.64
1,22,100,0.002019907808456631,0.6,0.008501043233871804,0.6,1.0381201853591187,0.6
1,23,100,0.002504019187830794,0.61,0.007214189478636331,0.59,1.058594922299217,0.61
1,24,100,0.002619111418025486,0.6,0.0074675613016850296,0.6,1.2592370635838448,0.6
1,25,100,0.0024230197859636893,0.6,0.0073224404561063015,0.6,1.3652588654250832,0.59
1,26,100,0.0013947069768091092,0.6,0.006524125160526432,0.59,1.4045288619024772,0.59
1,27,100,0.0025379167064307705,0.58,0.005791823400028025,0.58,1.2957675788777976,0.59
1,28,100,0.0019575986130581434,0.53,0.004322450085771804,0.52,1.1814574543712684,0.53
1,29,100,0.0018175553946605239,0.52,0.004088302678954564,0.52,1.1781154824257023,0.53
1,30,100,0.0015338136452132856,0.53,0.0036832762076482607,0.52,1.3611294941466014,0.54
1,31,100,0.0017074147398251883,0.53,0.0041088127019627725,0.51,1.1297757063074096,0.52
2,0,100,6.800886024371788e-07,0.52,0.0015415556700999367,0.55,0.0012223621287387135,0.53
2,1,100,2.290802713980078e-06,0.5,0.0030121591677209005,0.62,0.0028232620132956003,0.58
2,2,100,2.530705563514868e-06,0.55,0.002181875448697065,0.56,0.0026874713065383,0.53
2,3,100,-5.58823733686431e-05,0.46,-0.005450724396507761,0.47,-0.005216564803651323,0.46
2,4,100,-0.00011031286139229989,0.47,-0.006269736009279156,0.45,-0.008687389507720305,0.49
2,5,100,-8.435875986567142e-05,0.45,-0.005952423892782653,0.43,-0.009100014756307824,0.45
2,6,100,-8.182632732573248e-05,0.46,-0.005366949656148059,0.44,-0.010059725380107047,0.45
2,7,100,-0.0002123202930740431,0.37,-0.008608030685896157,0.34,-0.05724604178669639,0.36
2,8,100,-0.0003297621206096113,0.38,-0.008943930681174533,0.36,-0.08018148867698396,0.36
2,9,100,-0.00023722579764075323,0.4,-0.008185639583922173,0.39,-0.07536277032280801,0.42
2,10,100,-0.0002076190055485916,0.39,-0.0069361766046239105,0.4,-0.0675603650156915,0.42
2,11,100,-0.0003550492062235211,0.36,-0.009023658974711295,0.37,-0.10709229922415425,0.36
2,12,100,-0.00022355286203092127,0.46,-0.003720423592634674,0.43,-0.046326789070420406,0.41
2,13,100,6.624218839311635e-05,0.47,0.0019753817452094046,0.46,0.05176039670740282,0.46
2,14,100,0.00044555136337470546,0.51,0.007701933543248079,0.55,0.1475236020450157,0.55
2,15,100,-0.0031554173538179365,0.42,-0.010661029788958411,0.43,-0.2700323015394538,0.43
2,16,100,-0.0034370520016945762,0.48,-0.008028282857993861,0.51,-0.2041328941905449,0.51
2,17,100,-0.0033036200617449474,0.51,-0.006150783753144348,0.53,-0.1624383104129073,0.5
2,18,100,-0.002474314859060788,0.53,-0.0006234474994817879,0.56,0.029109243992797493,0.53
2,19,100,-0.003135866927430314,0.53,-0.003965202708131962,0.51,-0.05639517801281149,0.52
2,20,100,-0.0033237289873996666,0.54,-0.003764393590246178,0.53,-0.017807465155831856,0.51
2,21,100,-0.0022447520428627386,0.55,-0.002237445048132023,0.54,0.12114612548230382,0.53
2,22,100,-0.002180433659097146,0.49,-0.003230741108342021,0.48,0.1346210176161128,0.49
2,23,100,-0.0027946916717607384,0.47,-0.005455637583741056,0.47,-0.07222964512094304,0.48
2,24,100,-0.002081903881893562,0.42,-0.0037079879197997813,0.46,0.07694394367653691,0.45
2,25,100,-0.001641383294811486,0.45,-0.0031073490402925064,0.46,0.17395923474730812,0.44
2,26,100,-0.0019380325538938669,0.47,-0.003932967538290902,0.49,0.2609909059969866,0.5
2,27,100,-0.002273065566605035,0.48,-0.003193225561908315,0.5,0.18999314452726238,0.5
2,28,100,-0.0017658125861418372,0.37,-0.0026393267335038995,0.39,0.056799604926300234,0.37
2,29,100,-0.002057701761854547,0.38,-0.002463300602785935,0.39,-0.0723546207026099,0.38
2,30,100,-0.0018987693859659639,0.4,-0.0016627063633201827,0.4,-0.10275819552515916,0.41
2,31,100,-0.0034173761053254014,0.41,-0.004739305830790613,0.43,-0.7449105286724547,0.42
3,0,100,-2.264064068363547e-06,0.45,-0.006183823710759148,0.46,-0.002071534965833777,0.48
3,1,100,-6.475330579935879e-07,0.41,0.0023696297739905694,0.5,0.00025333228148566675,0.46
3,2,100,-5.7398783880713285e-06,0.38,-0.0002842756276768976,0.39,-0.003119403762925728,0.38
3,3,100,-9.740595061984214e-05,0.22,-0.007683312312414494,0.24,-0.042854654706461014,0.24
3,4,100,-0.00013784301715714543,0.27,-0.007092279484096616,0.26,-0.05775361239569799,0.28
3,5,100,-0.00012031460459333454,0.23,-0.00752691082886073,0.24,-0.0590651010794452,0.25
3,6,100,-0.00013101297417346668,0.23,-0.007193141353736361,0.25,-0.05950599814746359,0.23
3,7,100,-0.0003074833766575347,0.22,-0.01164823363796837,0.21,-0.11072240797617657,0.22
3,8,100,-0.0004795201115145953,0.21,-0.012499685133902181,0.22,-0.14726323679375064,0.24
3,9,100,-0.00033654588379915864,0.23,-0.011375292417131151,0.22,-0.1359592258841489,0.23
3,10,100,-0.00030804617989649063,0.26,-0.01064410833043354,0.26,-0.11773247694917315,0.28
3,11,100,-0.00017706935324508953,0.41,-0.005618182108254665,0.4,-0.07046936357589323,0.42
3,12,100,8.2620505120522e-05,0.54,0.0001885222852298707,0.54,0.024501838879713043,0.54
3,13,100,0.0003119741547914967,0.59,0.0037791687984605827,0.6,0.11369496102488619,0.62
3,14,100,0.0004859533682941852,0.64,0.006225184117144334,0.64,0.1686052240486794,0.64
3,15,100,0.0015952528938014076,0.63,0.014488465420460443,0.64,0.3662284405432031,0.62
3,16,100,0.0017289512486447867,0.62,0.013009624714327457,0.61,0.4247051998997261,0.62
3,17,100,0.0006881116963599531,0.53,0.0033598508360411184,0.54,0.23751506952988158,0.55
3,18,100,-0.0003923711929450957,0.55,-0.0042124315481696295,0.56,0.15341028071820406,0.55
3,19,100,-0.004559494602564146,0.49,-0.025317170019381063,0.49,-0.4548881410172282,0.49
3,20,100,-0.0070831655791249795,0.5,-0.03214166546018665,0.49,-0.811478538827103,0.48
3,21,100,-0.008696176465384502,0.5,-0.03671639702557605,0.49,-1.0668346360309586,0.48
3,22,100,-0.013533125138988154,0.46,-0.0562929540596471,0.46,-2.032007834480497,0.45
3,23,100,-0.022462075771370806,0.47,-0.06702607133258938,0.44,-2.8741081907270063,0.46
3,24,100,-0.02274249610100126,0.45,-0.06607489462506609,0.44,-3.4594221846656255,0.44
3,25,100,-0.022675931017662795,0.45,-0.06695513528581891,0.43,-3.9578294349371417,0.44
3,26,100,-0.019403048655761822,0.45,-0.0772195708220137,0.41,-4.753077044394678,0.42
3,27,100,-0.038075833710410345,0.4,-0.08540641450930346,0.41,-5.911956414552361,0.41
3,28,100,-0.034858093955287904,0.4,-0.0820648151938661,0.41,-7.547902450692179,0.4
3,29,100,-0.03987025667321183,0.39,-0.08043619397425611,0.39,-8.527138876163427,0.4
3,30,100,-0.04091477749131724,0.39,-0.08227072094602335,0.38,-10.578392315449534,0.39
3,31,100,-0.03891341121107625,0.38,-0.07140255037326206,0.38,-7.120441893246408,0.38
4,0,100,-3.190359712301749e-08,0.5,-0.006437268351198175,0.52,-0.0006706420125080824,0.46
4,1,100,-4.881772397180573e-07,0.49,0.0006687594600649638,0.6,0.0012389181246929167,0.59
4,2,100,-4.8103357991990945e-06,0.47,-0.0018711748053363696,0.49,-0.0010631840305450192,0.49
4,3,100,-0.00012043170003021241,0.29,-0.01082980925374091,0.31,-0.037271726103763704,0.3
4,4,100,-0.00018483141562094184,0.24,-0.010160461621673967,0.26,-0.05822482143547433,0.26
4,5,100,-0.00014879551355536868,0.25,-0.01086272781565027,0.26,-0.06079207271496054,0.25
4,6,100,-0.00015799276874958745,0.27,-0.01035776895830426,0.28,-0.060821100606499104,0.27
4,7,100,-0.00030117577016271934,0.21,-0.01266218799893601,0.22,-0.10254181179445991,0.24
4,8,100,-0.0004600807223210412,0.23,-0.013397207449770417,0.23,-0.1364294787047814,0.23
4,9,100,-0.00033409936572704855,0.18,-0.013174543833179033,0.2,-0.1395897519599723,0.19
4,10,100,-0.00033250187946368246,0.19,-0.012844998536908936,0.23,-0.12906012498770153,0.18
4,11,100,-0.00044169341639624713,0.18,-0.01145001851792192,0.18,-0.17795986029190353,0.2
4,12,100,-0.0005013330386430471,0.2,-0.009318425647373884,0.24,-0.1779890956226123,0.23
4,13,100,-0.0005172115348183304,0.26,-0.0075909400845664676,0.27,-0.164013004847573,0.28
4,14,100,-0.0004950239552908054,0.27,-0.007977670496002752,0.28,-0.17336505370138372,0.28
4,15,100,-0.0007990079860130672,0.29,-0.007734552522490169,0.3,-0.27879393091921234,0.27
4,16,100,-0.0011391209966624437,0.3,-0.008265224509324811,0.29,-0.31335337083460035,0.3
4,17,100,-0.0018811690819279725,0.27,-0.013347913946052281,0.26,-0.48472327905789897,0.27
4,18,100,-0.0023736073843009307,0.32,-0.015140244230335142,0.32,-0.5779743624825993,0.32
4,19,100,-0.0014439862256539083,0.34,-0.007744374981278802,0.33,-0.6502074950829371,0.32
4,20,100,-0.0023811244415093778,0.32,-0.008349654162427252,0.34,-0.9760087063430579,0.29
