layer,n_labelled,cosine_agreement,centered_cosine_agreement,projection_agreement,pair_new_rate
0,782.0,0.5562659846547314,0.5434782608695652,0.5498721227621484,0.489769820971867
1,782.0,0.5601023017902813,0.5588235294117647,0.5562659846547314,0.489769820971867
2,782.0,0.5588235294117647,0.5664961636828645,0.5664961636828645,0.489769820971867
3,782.0,0.5421994884910486,0.5358056265984654,0.5332480818414322,0.489769820971867
4,782.0,0.5421994884910486,0.5396419437340153,0.530690537084399,0.489769820971867
5,782.0,0.5537084398976982,0.5549872122762148,0.5447570332480819,0.489769820971867
6,782.0,0.5613810741687979,0.5626598465473146,0.5562659846547314,0.489769820971867
7,782.0,0.5498721227621484,0.5524296675191815,0.5549872122762148,0.489769820971867
8,782.0,0.5473145780051151,0.5473145780051151,0.5485933503836317,0.489769820971867
9,782.0,0.5485933503836317,0.5575447570332481,0.5498721227621484,0.489769820971867
10,782.0,0.5485933503836317,0.5613810741687979,0.5588235294117647,0.489769820971867
11,782.0,0.520460358056266,0.5191815856777494,0.520460358056266,0.489769820971867
12,782.0,0.5255754475703325,0.5179028132992327,0.5217391304347826,0.489769820971867
13,782.0,0.5230179028132992,0.5281329923273658,0.5242966751918159,0.489769820971867
14,782.0,0.5063938618925832,0.5140664961636828,0.5076726342710998,0.489769820971867
15,782.0,0.4833759590792839,0.49104859335038364,0.489769820971867,0.489769820971867
16,782.0,0.4846547314578005,0.48081841432225064,0.479539641943734,0.489769820971867
17,782.0,0.4936061381074169,0.4961636828644501,0.4948849104859335,0.489769820971867
18,782.0,0.4936061381074169,0.49872122762148335,0.4948849104859335,0.489769820971867
19,782.0,0.5255754475703325,0.5217391304347826,0.5230179028132992,0.489769820971867
20,782.0,0.5345268542199488,0.5230179028132992,0.5294117647058824,0.489769820971867
21,782.0,0.5242966751918159,0.5191815856777494,0.5294117647058824,0.489769820971867
22,782.0,0.5383631713554987,0.5217391304347826,0.5370843989769821,0.489769820971867
23,782.0,0.5396419437340153,0.5294117647058824,0.5332480818414322,0.489769820971867
24,782.0,0.5383631713554987,0.5230179028132992,0.540920716112532,0.489769820971867
25,782.0,0.5332480818414322,0.5242966751918159,0.5358056265984654,0.489769820971867
26,782.0,0.5460358056265985,0.5370843989769821,0.551150895140665,0.489769820971867
27,782.0,0.5396419437340153,0.5332480818414322,0.5370843989769821,0.489769820971867
28,782.0,0.5613810741687979,0.5524296675191815,0.5626598465473146,0.489769820971867
29,782.0,0.5652173913043478,0.5588235294117647,0.5626598465473146,0.489769820971867
30,782.0,0.5549872122762148,0.5562659846547314,0.5562659846547314,0.489769820971867
31,782.0,0.551150895140665,0.5524296675191815,0.5460358056265985,0.489769820971867
