pair_label,pair_label_display,layer,n,mean_cos_org,mean_cos_new,mean_cosine_delta,mean_centered_cos_org,mean_centered_cos_new,mean_centered_cosine_delta,mean_projection,mean_normalized_projection
1,1: new,0,383,0.9999430085532929,0.9999464343850051,3.4258317122208792e-06,0.8855997434733122,0.8931291267452508,0.007529383271938613,0.002710399012749894,0.12806357240423072
1,1: new,1,383,0.9998776097369295,0.999885092599302,7.482862372508522e-06,0.9048854932505056,0.9132443411844554,0.008358847933949658,0.005616791670602002,0.15039191908505703
1,1: new,2,383,0.9997632097060842,0.9997805491920635,1.7339485979311306e-05,0.9005001329435186,0.9117921407737475,0.01129200783022889,0.00920289401913091,0.16883997347024876
1,1: new,3,383,0.9993043754772246,0.9991119211062549,-0.00019245437096959562,0.9435120167278078,0.9276354258873549,-0.015876590840452825,-0.026749412816355157,-0.1011978999288161
1,1: new,4,383,0.9989670955429492,0.9986754861235905,-0.00029160941935867183,0.946343949406916,0.9314484957666973,-0.014895453640218747,-0.0386841978045519,-0.09917237060211549
1,1: new,5,383,0.9991534719018358,0.9989332559448182,-0.00022021595701752255,0.9434770702781576,0.9286614313420273,-0.014815638936130202,-0.034790843241604474,-0.07884598036630357
1,1: new,6,383,0.9989962403446211,0.9987814261112343,-0.00021481423338674701,0.9379296504016361,0.9246527891299609,-0.01327686127167514,-0.028053700565780503,-0.05214363217249713
1,1: new,7,383,0.9985665613459661,0.9981071094600075,-0.0004594518859586586,0.9468229716314194,0.9305817689996367,-0.016241202631782605,-0.06867198980498918,-0.11810238262639472
1,1: new,8,383,0.9979184840216829,0.9972907874422262,-0.000627696579456521,0.9460559641017421,0.9300393598551158,-0.016016604246626345,-0.08615768731838098,-0.11725030047095805
1,1: new,9,383,0.9982956028410517,0.9978649954413623,-0.000430607399689211,0.9440126296580436,0.9296564018740138,-0.014356227784029714,-0.07337564151389707,-0.09113905187766856
1,1: new,10,383,0.9981008218488537,0.997750047362535,-0.00035077448631866035,0.9359799672312258,0.9248854223938461,-0.011094544837379558,-0.0495982728533943,-0.050179026147197194
1,1: new,11,383,0.9977388711936509,0.9967431914063242,-0.0009956797873266927,0.9507599495147843,0.9290678225565584,-0.021692126958225883,-0.1342211208819362,-0.09671320787743315
1,1: new,12,383,0.9967774608648391,0.9956941735030813,-0.0010832873617578375,0.9441389547241295,0.9272240091093711,-0.01691494561475834,-0.09595726272639803,-0.01666736402843815
1,1: new,13,383,0.9952578526380493,0.9943314008575996,-0.0009264517804497581,0.9321924783680492,0.921646946625359,-0.01054553174269017,-0.011420127237205563,0.06946203154119064
1,1: new,14,383,0.9948361994515598,0.9940448213942646,-0.0007913780572951025,0.9263035166758411,0.9172641773418412,-0.009039339333999858,0.01837635045654482,0.09331758400832002
1,1: new,15,383,0.9910213616137685,0.9887117208565017,-0.0023096407572667423,0.9237321384503969,0.905274684941801,-0.018457453508595883,-0.21854292637955816,-0.03343005653125097
1,1: new,16,383,0.9869418599950007,0.985054850140359,-0.001887009854641603,0.9131465069398581,0.8994383152359021,-0.013708191703956102,-0.19111042345266366,-0.023573083852017663
1,1: new,17,383,0.9827752281916058,0.9819082078044314,-0.0008670203871743444,0.897978021484064,0.8912035946626432,-0.006774426821420938,-0.039805407173315474,0.023620475313927723
1,1: new,18,383,0.9756487630294399,0.9761998106186957,0.0005510475892558191,0.8730239284346362,0.8731334232129132,0.000109494778277054,0.1718109073372208,0.08515043987552683
1,1: new,19,383,0.969463974250276,0.9720044560417229,0.0025404817914468614,0.8741601823153581,0.8824831248370392,0.008322942521681033,0.40515473195898477,0.09988309320936016
1,1: new,20,383,0.964600426334205,0.9685605359805242,0.003960109646319203,0.8712977878887227,0.8835842592905094,0.012286471401786741,0.5815607333157806,0.10609111593461859
1,1: new,21,383,0.9601126999156308,0.9653837760853571,0.005271076169726177,0.8651385507902619,0.8814491152628604,0.016310564472598394,0.7936546495658003,0.11255681303138021
1,1: new,22,383,0.9621394047062835,0.96710463197533,0.004965227269046528,0.8580354707156309,0.8770701818988067,0.01903471118317578,1.0503365916620928,0.12560092315680996
1,1: new,23,383,0.9493953668419245,0.957142114149175,0.007746747307250439,0.8638989374687466,0.884748495884268,0.02084955841552145,1.342646754044489,0.12746554280593247
1,1: new,24,383,0.9494496227872966,0.9571805793067379,0.007730956519441263,0.8622600515603503,0.88361248929912,0.021352437738769693,1.5085683950658968,0.13637870910971608
1,1: new,25,383,0.9518744001824875,0.9595301600449114,0.007655759862423922,0.8612593070425828,0.8836375417635799,0.022378234720997047,1.6593254161005404,0.13746783392575906
1,1: new,26,383,0.9675645555135344,0.9728834064374354,0.005318850923900995,0.8591887539647631,0.884111262120067,0.024922508155303814,1.949496212223468,0.13904277632543485
1,1: new,27,383,0.9387356247225626,0.9501991031967739,0.01146347847421138,0.8697335531655211,0.8944401898109382,0.024706636645416953,2.1232105013308047,0.12618006464706827
1,1: new,28,383,0.9418845202778394,0.9523254486516555,0.010440928373815998,0.8649661691086896,0.8900568437033128,0.025090674594623337,2.754318909624556,0.1314765193479037
1,1: new,29,383,0.9329163650429304,0.944953561802451,0.012037196759520676,0.8612720688094755,0.8869952015980983,0.025723132788622698,3.1573533575147943,0.1294932528617086
1,1: new,30,383,0.9344396850258597,0.946010137175327,0.011570452149467256,0.8575144320374648,0.8842112855454313,0.02669685350796635,3.810245982871909,0.12416267462502292
