component,singular_value,label_correlation,abs_label_correlation,selected,model_id,layer
0,0.26882266283854683,-0.11759562011470391,0.11759562011470391,False,Qwen/Qwen3.5-4B,0
1,0.25913290600977357,-0.02987458582383229,0.02987458582383229,False,Qwen/Qwen3.5-4B,0
2,0.2227524765486522,0.09254986077681811,0.09254986077681811,False,Qwen/Qwen3.5-4B,0
3,0.1833472941656168,0.2472998963943646,0.2472998963943646,True,Qwen/Qwen3.5-4B,0
4,0.17057854137773112,-0.02926834849214002,0.02926834849214002,False,Qwen/Qwen3.5-4B,0
5,0.1532301319327691,0.09660021647416332,0.09660021647416332,False,Qwen/Qwen3.5-4B,0
6,0.14211625193429456,0.04996844677015941,0.04996844677015941,False,Qwen/Qwen3.5-4B,0
7,0.13587499543244794,-0.12423932378630356,0.12423932378630356,True,Qwen/Qwen3.5-4B,0
8,0.12443106371296324,0.07855834312476413,0.07855834312476413,False,Qwen/Qwen3.5-4B,0
9,0.11618554617894522,0.06202865145889929,0.06202865145889929,False,Qwen/Qwen3.5-4B,0
10,0.11071624961870366,0.07576900626335664,0.07576900626335664,False,Qwen/Qwen3.5-4B,0
11,0.10860643376106921,-0.04164012414186993,0.04164012414186993,False,Qwen/Qwen3.5-4B,0
12,0.10706662254490461,-0.11317661876417782,0.11317661876417782,False,Qwen/Qwen3.5-4B,0
13,0.1022973028832137,0.00556780386660726,0.00556780386660726,False,Qwen/Qwen3.5-4B,0
14,0.09705682163825294,0.02284144960257924,0.02284144960257924,False,Qwen/Qwen3.5-4B,0
15,0.09171086627346442,0.04460896355355071,0.04460896355355071,False,Qwen/Qwen3.5-4B,0
0,11.795282758501974,-0.13419807716767612,0.13419807716767612,False,Qwen/Qwen3.5-4B,8
1,5.919163259001769,0.0034059657516006775,0.0034059657516006775,False,Qwen/Qwen3.5-4B,8
2,5.157006001989496,0.04591497553421871,0.04591497553421871,False,Qwen/Qwen3.5-4B,8
3,4.843939923344978,0.11464183200290817,0.11464183200290817,False,Qwen/Qwen3.5-4B,8
4,3.919289574467046,-0.1837392764570131,0.1837392764570131,False,Qwen/Qwen3.5-4B,8
5,3.6294633276875974,-0.22892159761611794,0.22892159761611794,True,Qwen/Qwen3.5-4B,8
6,3.5322832132147974,0.026514385636208584,0.026514385636208584,False,Qwen/Qwen3.5-4B,8
7,3.324829387894713,0.029139818837982154,0.029139818837982154,False,Qwen/Qwen3.5-4B,8
8,2.9548285149181814,-0.025147037989078663,0.025147037989078663,False,Qwen/Qwen3.5-4B,8
9,2.6384213088664787,0.0033393463490994485,0.0033393463490994485,False,Qwen/Qwen3.5-4B,8
10,2.5443743422729193,-0.06394730408166371,0.06394730408166371,False,Qwen/Qwen3.5-4B,8
11,2.3445111861262924,0.13002434221875916,0.13002434221875916,False,Qwen/Qwen3.5-4B,8
12,2.231199155437265,-0.20919383361758187,0.20919383361758187,True,Qwen/Qwen3.5-4B,8
13,2.1567607353076927,0.1045085954757163,0.1045085954757163,False,Qwen/Qwen3.5-4B,8
14,2.0339788186385332,-0.03343502444000456,0.03343502444000456,False,Qwen/Qwen3.5-4B,8
15,2.026235864932775,0.06146895017951769,0.06146895017951769,False,Qwen/Qwen3.5-4B,8
0,20.974524501836367,-0.11431077959528345,0.11431077959528345,False,Qwen/Qwen3.5-4B,16
1,18.950657429336445,-0.200720934378992,0.200720934378992,True,Qwen/Qwen3.5-4B,16
2,17.58018566675726,-0.06725246685643166,0.06725246685643166,False,Qwen/Qwen3.5-4B,16
3,15.198319845956743,-0.0411828324315884,0.0411828324315884,False,Qwen/Qwen3.5-4B,16
4,14.640174451818444,-0.029861008203781816,0.029861008203781816,False,Qwen/Qwen3.5-4B,16
5,12.519229201687214,-0.05122570566640446,0.05122570566640446,False,Qwen/Qwen3.5-4B,16
6,11.944581669072257,-0.057563303674200254,0.057563303674200254,False,Qwen/Qwen3.5-4B,16
7,11.370543112523567,0.05843560277670652,0.05843560277670652,False,Qwen/Qwen3.5-4B,16
8,10.375322443190187,-0.06184450639119806,0.06184450639119806,False,Qwen/Qwen3.5-4B,16
9,10.117751439681292,0.06487926794141952,0.06487926794141952,False,Qwen/Qwen3.5-4B,16
10,9.128035629537376,0.18607875104056226,0.18607875104056226,True,Qwen/Qwen3.5-4B,16
11,8.762539078107313,-0.028768718952710288,0.028768718952710288,False,Qwen/Qwen3.5-4B,16
12,8.280780111670627,-0.09621142277819514,0.09621142277819514,False,Qwen/Qwen3.5-4B,16
13,8.032998485343287,0.03457016682663043,0.03457016682663043,False,Qwen/Qwen3.5-4B,16
14,7.577745620830029,-0.07834366070161365,0.07834366070161365,False,Qwen/Qwen3.5-4B,16
15,7.448084407952515,0.15638488418997845,0.15638488418997845,False,Qwen/Qwen3.5-4B,16
0,103.81698808090336,-0.11695402570911272,0.11695402570911272,True,Qwen/Qwen3.5-4B,24
1,63.70202793199427,-0.049654588779324056,0.049654588779324056,False,Qwen/Qwen3.5-4B,24
2,60.742808029880244,0.03941177202178811,0.03941177202178811,False,Qwen/Qwen3.5-4B,24
3,52.8485222857466,-0.02089246379358507,0.02089246379358507,False,Qwen/Qwen3.5-4B,24
4,46.98204298619793,-0.026131188542508677,0.026131188542508677,False,Qwen/Qwen3.5-4B,24
5,42.02256360426506,-0.05008583604277146,0.05008583604277146,False,Qwen/Qwen3.5-4B,24
6,37.9510937608505,0.044133700652313486,0.044133700652313486,False,Qwen/Qwen3.5-4B,24
7,36.15947859785742,0.08334604521603114,0.08334604521603114,False,Qwen/Qwen3.5-4B,24
8,33.34634193827475,-0.20449478901886056,0.20449478901886056,True,Qwen/Qwen3.5-4B,24
9,32.93552864166826,-0.016985191243785246,0.016985191243785246,False,Qwen/Qwen3.5-4B,24
10,32.28645826792746,0.00567849398954127,0.00567849398954127,False,Qwen/Qwen3.5-4B,24
11,29.939139641891487,0.046200175447691054,0.046200175447691054,False,Qwen/Qwen3.5-4B,24
12,29.154165428150232,0.0015689981151719831,0.0015689981151719831,False,Qwen/Qwen3.5-4B,24
13,29.046152425470552,0.105694832720963,0.105694832720963,False,Qwen/Qwen3.5-4B,24
14,28.198902739046588,-0.007488478469399701,0.007488478469399701,False,Qwen/Qwen3.5-4B,24
15,27.19265841884074,0.05992531114512146,0.05992531114512146,False,Qwen/Qwen3.5-4B,24
0,496.8797913686735,-0.14377326825327344,0.14377326825327344,True,Qwen/Qwen3.5-4B,31
1,450.5109430346324,-0.04226009031718237,0.04226009031718237,False,Qwen/Qwen3.5-4B,31
2,384.3434714729308,0.02424844556135074,0.02424844556135074,False,Qwen/Qwen3.5-4B,31
3,348.2597453057491,-0.025802820502322365,0.025802820502322365,False,Qwen/Qwen3.5-4B,31
4,279.93909390126623,0.009398747866271767,0.009398747866271767,False,Qwen/Qwen3.5-4B,31
5,261.86677842105047,-0.051621606217725616,0.051621606217725616,False,Qwen/Qwen3.5-4B,31
6,243.75140317673265,-0.023616385670377164,0.023616385670377164,False,Qwen/Qwen3.5-4B,31
7,231.6769772615935,0.052377376271564184,0.052377376271564184,False,Qwen/Qwen3.5-4B,31
8,217.22389431971717,-0.03995088167329865,0.03995088167329865,False,Qwen/Qwen3.5-4B,31
9,212.78803272393066,-0.03525266392378172,0.03525266392378172,False,Qwen/Qwen3.5-4B,31
10,200.21221290431674,-0.0422577691042831,0.0422577691042831,False,Qwen/Qwen3.5-4B,31
11,194.73194659504512,0.08994018506051307,0.08994018506051307,False,Qwen/Qwen3.5-4B,31
12,191.60924946472812,0.11628012614445477,0.11628012614445477,True,Qwen/Qwen3.5-4B,31
