model_id,n_pair_labelled,prompt_order_unknown,last_constraint_choice_rate,new_choice_rate_when_new_last,new_choice_rate_when_org_last
Qwen/Qwen3.5-4B,792,0,0.4810606060606061,0.4810606060606061,
Qwen/Qwen3.5-9B,804,0,0.48880597014925375,0.48880597014925375,
