held_out_type,n_train,n_test,balanced_accuracy,roc_auc,model_id,target,feature_group
5,759,99,0.41237113402061853,0.4587628865979381,Qwen/Qwen3.5-4B,behavior_1_vs_3,full_geometry_plus_type
6,758,100,0.42777777777777776,0.48555555555555563,Qwen/Qwen3.5-4B,behavior_1_vs_3,full_geometry_plus_type
7,762,96,0.42337164750957856,0.4342273307790549,Qwen/Qwen3.5-4B,behavior_1_vs_3,full_geometry_plus_type
8,764,94,0.5865740740740741,0.625,Qwen/Qwen3.5-4B,behavior_1_vs_3,full_geometry_plus_type
9,788,70,0.5993589743589743,0.5747863247863247,Qwen/Qwen3.5-4B,behavior_1_vs_3,full_geometry_plus_type
1,712,92,0.5047593865679535,0.5341089370703331,Qwen/Qwen3.5-9B,pair_choice,axis_trajectory
2,717,87,0.47905620360551426,0.5095440084835631,Qwen/Qwen3.5-9B,pair_choice,axis_trajectory
3,714,90,0.5476190476190476,0.5813492063492063,Qwen/Qwen3.5-9B,pair_choice,axis_trajectory
4,708,96,0.6218362282878411,0.6679900744416873,Qwen/Qwen3.5-9B,pair_choice,axis_trajectory
5,715,89,0.5952020202020203,0.5863636363636364,Qwen/Qwen3.5-9B,pair_choice,axis_trajectory
6,710,94,0.6217211228716061,0.6277036355269213,Qwen/Qwen3.5-9B,pair_choice,axis_trajectory
7,709,95,0.6069182389937107,0.6518418688230009,Qwen/Qwen3.5-9B,pair_choice,axis_trajectory
8,712,92,0.5006493506493506,0.5318181818181817,Qwen/Qwen3.5-9B,pair_choice,axis_trajectory
9,735,69,0.623015873015873,0.4894179894179894,Qwen/Qwen3.5-9B,pair_choice,axis_trajectory
1,712,92,0.4894235854045479,0.5367530407191962,Qwen/Qwen3.5-9B,pair_choice,full_geometry
2,717,87,0.500795334040297,0.468186638388123,Qwen/Qwen3.5-9B,pair_choice,full_geometry
3,714,90,0.5595238095238095,0.5892857142857143,Qwen/Qwen3.5-9B,pair_choice,full_geometry
4,708,96,0.56575682382134,0.6029776674937964,Qwen/Qwen3.5-9B,pair_choice,full_geometry
5,715,89,0.45782828282828286,0.44141414141414137,Qwen/Qwen3.5-9B,pair_choice,full_geometry
6,710,94,0.5441785549930971,0.5931891394385642,Qwen/Qwen3.5-9B,pair_choice,full_geometry
