model_id,label,n
Qwen/Qwen3.5-4B,org,411
Qwen/Qwen3.5-4B,new,381
Qwen/Qwen3.5-4B,neither,72
Qwen/Qwen3.5-9B,org,411
Qwen/Qwen3.5-9B,new,393
Qwen/Qwen3.5-9B,neither,60
