model_id,layer,n,mean_position_t,median_position_t,fraction_new_side,fraction_outside_segment,mean_log_offaxis_ratio,median_offaxis_ratio,mean_offaxis_fraction,mean_midpoint_distance_ratio,median_midpoint_distance_ratio,mean_log_midpoint_distance_ratio,mean_endpoint_relative_hidden
Qwen/Qwen3.5-4B,0,864,0.5007686986665765,0.48835832062205486,0.49189814814814814,0.2048611111111111,0.8369120216835059,1.1809711082667413,0.9291246878799205,29450119.789758403,1.2500297213939588,0.8716224208168049,0.011736593945364361
Qwen/Qwen3.5-4B,1,864,0.4978567269089609,0.4974636035236766,0.49537037037037035,0.13078703703703703,0.7848880137056732,1.1222083650448234,0.939189087845646,1.3682435181238712,1.18344140950135,0.8138819450963243,0.019761768911926096
Qwen/Qwen3.5-4B,2,864,0.5125284128878543,0.5112398329850125,0.5185185185185185,0.12731481481481483,0.8077939759489321,1.2055290973170771,0.945190053614551,1.4098452805380548,1.2469187594596596,0.8341067837795271,0.03234505342265727
Qwen/Qwen3.5-4B,3,864,0.4264010183336974,0.4104704945569898,0.38773148148148145,0.1099537037037037,0.7642129494448548,1.0662194872101614,0.93886810638823,1.3295027805525133,1.1168761226055732,0.7921446662688915,0.06424534775921578
Qwen/Qwen3.5-4B,4,864,0.4156566540883087,0.3900155363646964,0.3773148148148148,0.1076388888888889,0.7549949827890242,1.0690708121405486,0.9389807513062617,1.2960920356794963,1.1035661034771622,0.7827825533580125,0.07558744815949223
Qwen/Qwen3.5-4B,5,864,0.4089942864534723,0.38161398581586936,0.3761574074074074,0.10069444444444445,0.7449062813005963,1.0469575565325595,0.9385038858329311,1.2642267359490569,1.0934715000222046,0.7728772747147606,0.06719721318993446
Qwen/Qwen3.5-4B,6,864,0.42663825215961526,0.41027393724319594,0.4027777777777778,0.10300925925925926,0.7739854807292821,1.1266605408188508,0.9429817236838162,1.330460585915516,1.1674380538363471,0.8001571190021715,0.06754515509264977
Qwen/Qwen3.5-4B,7,864,0.38180772965628984,0.3472637849911816,0.30671296296296297,0.08333333333333333,0.6536375434075274,0.8461692107936247,0.9220642500590496,1.0648194889729745,0.9017125067777727,0.6869727701022403,0.09158362979713666
Qwen/Qwen3.5-4B,8,864,0.3842123462475752,0.3451284265952203,0.3113425925925926,0.0775462962962963,0.6503216177983998,0.8412200469281056,0.9219356740126827,1.0537657716459898,0.8974839363194291,0.6835906368313872,0.09413909693709005
Qwen/Qwen3.5-4B,9,864,0.3970586162692777,0.3630664131398462,0.3263888888888889,0.0625,0.6521798007664118,0.8479034788919784,0.927231771691023,1.0475933648484022,0.9050128621469551,0.683187139528527,0.09310433057347461
Qwen/Qwen3.5-4B,10,864,0.4217424035176754,0.39298983260569453,0.37037037037037035,0.07060185185185185,0.6993984996633928,0.9286659907237836,0.9353866283153005,1.1507759329230889,0.9867816241896605,0.7275469624306955,0.08839719916466943
Qwen/Qwen3.5-4B,11,864,0.36937042852121976,0.3444824026333404,0.2962962962962963,0.059027777777777776,0.5888603356030526,0.7363164818514902,0.910760118410211,0.9219908158112413,0.778730100624198,0.6255630484363105,0.11758064575316206
Qwen/Qwen3.5-4B,12,864,0.3998455973681657,0.37505697438661456,0.3472222222222222,0.061342592592592594,0.6010016977127594,0.7461390409161881,0.9208816081229526,0.9397661898142411,0.7908989870962709,0.6337378416760205,0.12394913246843335
Qwen/Qwen3.5-4B,13,864,0.42794776715142185,0.4165209198002004,0.38310185185185186,0.06365740740740741,0.6606540075816932,0.8671285615664781,0.9311298890991969,1.0639235810886927,0.9096912199667179,0.6898735223653104,0.12779431698251859
Qwen/Qwen3.5-4B,14,864,0.4518406533055619,0.44022420027463705,0.41898148148148145,0.07060185185185185,0.68175609181756,0.8928411290232523,0.9353746724791833,1.1094538234940503,0.9311018826995247,0.7096985850776036,0.12193372101933177
Qwen/Qwen3.5-4B,15,864,0.4135513786756321,0.3797215263497601,0.3726851851851852,0.05439814814814815,0.5898393491344119,0.7408734186239685,0.9132444483086419,0.9218320644806206,0.7891437889901993,0.6254644168458926,0.17485239606450623
Qwen/Qwen3.5-4B,16,864,0.4283193288760483,0.4096844724942793,0.39467592592592593,0.0625,0.6050407535648756,0.7547698547724087,0.9193296357656771,0.9561405463680595,0.798292253469592,0.6384864593055368,0.19421344931457124
Qwen/Qwen3.5-4B,17,864,0.4478952278165543,0.4302929830142795,0.41087962962962965,0.08217592592592593,0.6497619153250157,0.8295477841527137,0.92575874999725,1.0561231532287385,0.8625160475865711,0.6817442278511073,0.20860870577227647
Qwen/Qwen3.5-4B,18,864,0.4649510436335057,0.4424529100556481,0.44907407407407407,0.10532407407407407,0.6881548962883199,0.8733059344477189,0.9242239331081672,1.1745621010677145,0.9139964165919456,0.7214253951604565,0.204898320635321
Qwen/Qwen3.5-4B,19,864,0.43952657684567753,0.4273689878649941,0.41782407407407407,0.13541666666666666,0.6454548469333742,0.7642692144834744,0.9035211842489195,1.110155074514634,0.8184408935606824,0.6871822612771493,0.22567774774923122
Qwen/Qwen3.5-4B,20,864,0.44841869734726075,0.43964635868911106,0.4270833333333333,0.1423611111111111,0.6506867370382026,0.7719038047032147,0.9000949794789811,1.1394392822670332,0.826193820027022,0.6939925951587567,0.2319949291592422
Qwen/Qwen3.5-4B,21,864,0.45677505191948037,0.4360889550105069,0.4363425925925926,0.1597222222222222,0.6496136406996847,0.7488574373862276,0.8956344068148802,1.1524438067406086,0.8057366432809547,0.6946613410005684,0.2388994000165695
Qwen/Qwen3.5-4B,22,864,0.456888704594099,0.42857320758188183,0.4340277777777778,0.17592592592592593,0.6597962029248767,0.7588438754398315,0.8922590365294126,1.1954093708827072,0.8242997943241808,0.7064076943127547,0.22594163753970836
Qwen/Qwen3.5-4B,23,864,0.45346134585437087,0.4208121562890975,0.41898148148148145,0.17592592592592593,0.6507953726569542,0.742665608537368,0.8883517043447261,1.1764565787296137,0.7995655630050515,0.6992229243268737,0.2416586641772509
Qwen/Qwen3.5-4B,24,864,0.45675141906228983,0.4139936928879121,0.41898148148148145,0.1736111111111111,0.6570658163057758,0.7422286800744582,0.8858348651990368,1.2047978430291946,0.7968641195645125,0.7065859167362887,0.2412344099576616
Qwen/Qwen3.5-4B,25,864,0.45677016366349565,0.41299014695154224,0.42939814814814814,0.1875,0.6578073607310247,0.7352780231778857,0.8838916057496408,1.2123755422015852,0.7974298231903632,0.7081738904038988,0.23593242761138497
