model_id,layer,conflict_type_idx,metric,n,roc_auc
Qwen/Qwen3.5-4B,2,6,offaxis_fraction,93,0.5358851674641149
Qwen/Qwen3.5-4B,2,7,position_t,90,0.5813492063492064
Qwen/Qwen3.5-4B,2,7,log_offaxis_ratio,90,0.5530753968253969
Qwen/Qwen3.5-4B,2,7,offaxis_fraction,90,0.5128968253968254
Qwen/Qwen3.5-4B,2,8,position_t,93,0.5684624017957352
Qwen/Qwen3.5-4B,2,8,log_offaxis_ratio,93,0.4461279461279462
Qwen/Qwen3.5-4B,2,8,offaxis_fraction,93,0.42199775533108863
Qwen/Qwen3.5-4B,2,9,position_t,69,0.4076923076923077
Qwen/Qwen3.5-4B,2,9,log_offaxis_ratio,69,0.3153846153846154
Qwen/Qwen3.5-4B,2,9,offaxis_fraction,69,0.46923076923076923
Qwen/Qwen3.5-4B,3,1,position_t,95,0.6243972999035681
Qwen/Qwen3.5-4B,3,1,log_offaxis_ratio,95,0.5390549662487946
Qwen/Qwen3.5-4B,3,1,offaxis_fraction,95,0.4754098360655738
Qwen/Qwen3.5-4B,3,2,position_t,89,0.6423280423280424
Qwen/Qwen3.5-4B,3,2,log_offaxis_ratio,89,0.4375661375661375
Qwen/Qwen3.5-4B,3,2,offaxis_fraction,89,0.48412698412698413
Qwen/Qwen3.5-4B,3,3,position_t,88,0.4908579465541491
Qwen/Qwen3.5-4B,3,3,log_offaxis_ratio,88,0.6118143459915611
Qwen/Qwen3.5-4B,3,3,offaxis_fraction,88,0.47116736990154706
Qwen/Qwen3.5-4B,3,4,position_t,91,0.471264367816092
Qwen/Qwen3.5-4B,3,4,log_offaxis_ratio,91,0.5731452455590388
Qwen/Qwen3.5-4B,3,4,offaxis_fraction,91,0.5036572622779519
Qwen/Qwen3.5-4B,3,5,position_t,84,0.48696145124716556
Qwen/Qwen3.5-4B,3,5,log_offaxis_ratio,84,0.6167800453514739
Qwen/Qwen3.5-4B,3,5,offaxis_fraction,84,0.4631519274376417
