model_id,stage,conflict_type_idx,metric,n,new_rate,roc_auc
Qwen/Qwen3.5-4B,middle_10_21,3,log_offaxis_ratio,88,0.10227272727272728,0.7018284106891702
Qwen/Qwen3.5-4B,middle_10_21,3,offaxis_fraction,88,0.10227272727272728,0.6047819971870605
Qwen/Qwen3.5-4B,middle_10_21,4,position_t,91,0.3626373626373626,0.5668756530825496
Qwen/Qwen3.5-4B,middle_10_21,4,log_offaxis_ratio,91,0.3626373626373626,0.4608150470219436
Qwen/Qwen3.5-4B,middle_10_21,4,offaxis_fraction,91,0.3626373626373626,0.5088819226750261
Qwen/Qwen3.5-4B,middle_10_21,5,position_t,84,0.5,0.4790249433106576
Qwen/Qwen3.5-4B,middle_10_21,5,log_offaxis_ratio,84,0.5,0.6740362811791384
Qwen/Qwen3.5-4B,middle_10_21,5,offaxis_fraction,84,0.5,0.626984126984127
Qwen/Qwen3.5-4B,middle_10_21,6,position_t,93,0.5913978494623656,0.728708133971292
Qwen/Qwen3.5-4B,middle_10_21,6,log_offaxis_ratio,93,0.5913978494623656,0.6311004784688996
Qwen/Qwen3.5-4B,middle_10_21,6,offaxis_fraction,93,0.5913978494623656,0.6430622009569378
Qwen/Qwen3.5-4B,middle_10_21,7,position_t,90,0.4666666666666667,0.45039682539682546
Qwen/Qwen3.5-4B,middle_10_21,7,log_offaxis_ratio,90,0.4666666666666667,0.4608134920634921
Qwen/Qwen3.5-4B,middle_10_21,7,offaxis_fraction,90,0.4666666666666667,0.5719246031746031
Qwen/Qwen3.5-4B,middle_10_21,8,position_t,93,0.7096774193548387,0.5785634118967452
Qwen/Qwen3.5-4B,middle_10_21,8,log_offaxis_ratio,93,0.7096774193548387,0.5246913580246912
Qwen/Qwen3.5-4B,middle_10_21,8,offaxis_fraction,93,0.7096774193548387,0.5039281705948373
Qwen/Qwen3.5-4B,middle_10_21,9,position_t,69,0.9420289855072463,0.4423076923076923
Qwen/Qwen3.5-4B,middle_10_21,9,log_offaxis_ratio,69,0.9420289855072463,0.3923076923076923
Qwen/Qwen3.5-4B,middle_10_21,9,offaxis_fraction,69,0.9420289855072463,0.35384615384615387
Qwen/Qwen3.5-9B,early_00_09,1,position_t,92,0.33695652173913043,0.5817028027498677
Qwen/Qwen3.5-9B,early_00_09,1,log_offaxis_ratio,92,0.33695652173913043,0.520888418826018
Qwen/Qwen3.5-9B,early_00_09,1,offaxis_fraction,92,0.33695652173913043,0.565309360126917
Qwen/Qwen3.5-9B,early_00_09,2,position_t,87,0.47126436781609193,0.49628844114528103
Qwen/Qwen3.5-9B,early_00_09,2,log_offaxis_ratio,87,0.47126436781609193,0.3170731707317073
Qwen/Qwen3.5-9B,early_00_09,2,offaxis_fraction,87,0.47126436781609193,0.4904559915164368
Qwen/Qwen3.5-9B,early_00_09,3,position_t,90,0.06666666666666667,0.5753968253968254
Qwen/Qwen3.5-9B,early_00_09,3,log_offaxis_ratio,90,0.06666666666666667,0.748015873015873
Qwen/Qwen3.5-9B,early_00_09,3,offaxis_fraction,90,0.06666666666666667,0.5416666666666666
Qwen/Qwen3.5-9B,early_00_09,4,position_t,96,0.3229166666666667,0.5647642679900743
Qwen/Qwen3.5-9B,early_00_09,4,log_offaxis_ratio,96,0.3229166666666667,0.4962779156327543
Qwen/Qwen3.5-9B,early_00_09,4,offaxis_fraction,96,0.3229166666666667,0.5196029776674937
Qwen/Qwen3.5-9B,early_00_09,5,position_t,89,0.5056179775280899,0.4964646464646465
Qwen/Qwen3.5-9B,early_00_09,5,log_offaxis_ratio,89,0.5056179775280899,0.6919191919191919
Qwen/Qwen3.5-9B,early_00_09,5,offaxis_fraction,89,0.5056179775280899,0.5853535353535353
Qwen/Qwen3.5-9B,early_00_09,6,position_t,94,0.5638297872340425,0.630924988495168
Qwen/Qwen3.5-9B,early_00_09,6,log_offaxis_ratio,94,0.5638297872340425,0.6313851817763461
Qwen/Qwen3.5-9B,early_00_09,6,offaxis_fraction,94,0.5638297872340425,0.63046479521399
Qwen/Qwen3.5-9B,early_00_09,7,position_t,95,0.5578947368421052,0.5718778077268643
Qwen/Qwen3.5-9B,early_00_09,7,log_offaxis_ratio,95,0.5578947368421052,0.41239892183288407
Qwen/Qwen3.5-9B,early_00_09,7,offaxis_fraction,95,0.5578947368421052,0.4146451033243486
Qwen/Qwen3.5-9B,early_00_09,8,position_t,92,0.7608695652173914,0.6785714285714286
Qwen/Qwen3.5-9B,early_00_09,8,log_offaxis_ratio,92,0.7608695652173914,0.4714285714285714
Qwen/Qwen3.5-9B,early_00_09,8,offaxis_fraction,92,0.7608695652173914,0.4811688311688312
Qwen/Qwen3.5-9B,early_00_09,9,position_t,69,0.9130434782608695,0.46825396825396826
Qwen/Qwen3.5-9B,early_00_09,9,log_offaxis_ratio,69,0.9130434782608695,0.566137566137566
Qwen/Qwen3.5-9B,early_00_09,9,offaxis_fraction,69,0.9130434782608695,0.5661375661375662
Qwen/Qwen3.5-9B,late_22_31,1,position_t,92,0.33695652173913043,0.46271813855103117
Qwen/Qwen3.5-9B,late_22_31,1,log_offaxis_ratio,92,0.33695652173913043,0.7038603913273401
Qwen/Qwen3.5-9B,late_22_31,1,offaxis_fraction,92,0.33695652173913043,0.5965097831835008
Qwen/Qwen3.5-9B,late_22_31,2,position_t,87,0.47126436781609193,0.5768822905620361
Qwen/Qwen3.5-9B,late_22_31,2,log_offaxis_ratio,87,0.47126436781609193,0.6230116648992577
Qwen/Qwen3.5-9B,late_22_31,2,offaxis_fraction,87,0.47126436781609193,0.5084835630965006
Qwen/Qwen3.5-9B,late_22_31,3,position_t,90,0.06666666666666667,0.36111111111111105
Qwen/Qwen3.5-9B,late_22_31,3,log_offaxis_ratio,90,0.06666666666666667,0.634920634920635
Qwen/Qwen3.5-9B,late_22_31,3,offaxis_fraction,90,0.06666666666666667,0.5257936507936508
Qwen/Qwen3.5-9B,late_22_31,4,position_t,96,0.3229166666666667,0.794044665012407
Qwen/Qwen3.5-9B,late_22_31,4,log_offaxis_ratio,96,0.3229166666666667,0.4997518610421836
Qwen/Qwen3.5-9B,late_22_31,4,offaxis_fraction,96,0.3229166666666667,0.507196029776675
Qwen/Qwen3.5-9B,late_22_31,5,position_t,89,0.5056179775280899,0.38636363636363635
Qwen/Qwen3.5-9B,late_22_31,5,log_offaxis_ratio,89,0.5056179775280899,0.6
Qwen/Qwen3.5-9B,late_22_31,5,offaxis_fraction,89,0.5056179775280899,0.5767676767676768
Qwen/Qwen3.5-9B,late_22_31,6,position_t,94,0.5638297872340425,0.742291762540267
Qwen/Qwen3.5-9B,late_22_31,6,log_offaxis_ratio,94,0.5638297872340425,0.49056603773584906
Qwen/Qwen3.5-9B,late_22_31,6,offaxis_fraction,94,0.5638297872340425,0.5167970547630005
Qwen/Qwen3.5-9B,late_22_31,7,position_t,95,0.5578947368421052,0.458670260557053
Qwen/Qwen3.5-9B,late_22_31,7,log_offaxis_ratio,95,0.5578947368421052,0.3508535489667565
Qwen/Qwen3.5-9B,late_22_31,7,offaxis_fraction,95,0.5578947368421052,0.4339622641509434
Qwen/Qwen3.5-9B,late_22_31,8,position_t,92,0.7608695652173914,0.5792207792207793
Qwen/Qwen3.5-9B,late_22_31,8,log_offaxis_ratio,92,0.7608695652173914,0.5116883116883117
Qwen/Qwen3.5-9B,late_22_31,8,offaxis_fraction,92,0.7608695652173914,0.4896103896103896
Qwen/Qwen3.5-9B,late_22_31,9,position_t,69,0.9130434782608695,0.34656084656084657
Qwen/Qwen3.5-9B,late_22_31,9,log_offaxis_ratio,69,0.9130434782608695,0.38888888888888884
Qwen/Qwen3.5-9B,late_22_31,9,offaxis_fraction,69,0.9130434782608695,0.5079365079365079
Qwen/Qwen3.5-9B,middle_10_21,1,position_t,92,0.33695652173913043,0.5568482284505553
Qwen/Qwen3.5-9B,middle_10_21,1,log_offaxis_ratio,92,0.33695652173913043,0.609730301427816
Qwen/Qwen3.5-9B,middle_10_21,1,offaxis_fraction,92,0.33695652173913043,0.5219460602855632
Qwen/Qwen3.5-9B,middle_10_21,2,position_t,87,0.47126436781609193,0.6071049840933191
Qwen/Qwen3.5-9B,middle_10_21,2,log_offaxis_ratio,87,0.47126436781609193,0.5153764581124072
Qwen/Qwen3.5-9B,middle_10_21,2,offaxis_fraction,87,0.47126436781609193,0.4946977730646872
Qwen/Qwen3.5-9B,middle_10_21,3,position_t,90,0.06666666666666667,0.3492063492063492
Qwen/Qwen3.5-9B,middle_10_21,3,log_offaxis_ratio,90,0.06666666666666667,0.5932539682539683
Qwen/Qwen3.5-9B,middle_10_21,3,offaxis_fraction,90,0.06666666666666667,0.623015873015873
Qwen/Qwen3.5-9B,middle_10_21,4,position_t,96,0.3229166666666667,0.6461538461538461
Qwen/Qwen3.5-9B,middle_10_21,4,log_offaxis_ratio,96,0.3229166666666667,0.5488833746898263
Qwen/Qwen3.5-9B,middle_10_21,4,offaxis_fraction,96,0.3229166666666667,0.5359801488833746
Qwen/Qwen3.5-9B,middle_10_21,5,position_t,89,0.5056179775280899,0.41868686868686866
